country,area,city,town
Taiwan,Taipei,Taipei City,Songshan District
Taiwan,Taipei,Taipei City,Da'an District
Taiwan,Taipei,Taipei City,Datong District
Taiwan,Taipei,Taipei City,Zhongshan District
Taiwan,Taipei,Taipei City,Neihu District
Taiwan,Taipei,Taipei City,Nangang District
Taiwan,Taipei,Taipei City,Shilin District
Taiwan,Taipei,Taipei City,Beitou District
Taiwan,Taipei,Taipei City,Xinyi District
Taiwan,Taipei,Taipei City,Zhongzheng District
Taiwan,Taipei,Taipei City,Wanhua District
Taiwan,Taipei,Taipei City,Wenshan District
Taiwan,Taipei,Taipei City,Other
Taiwan,Taipei,Keelung City,Zhongzheng District
Taiwan,Taipei,Keelung City,Qidu District
Taiwan,Taipei,Keelung City,Nuannuan District
Taiwan,Taipei,Keelung City,Ren'ai District
Taiwan,Taipei,Keelung City,Zhongshan District
Taiwan,Taipei,Keelung City,Anle District
Taiwan,Taipei,Keelung City,Xinyi District
Taiwan,Taipei,Keelung City,Other
Taiwan,Taipei,New Taipei City,Banqiao District
Taiwan,Taipei,New Taipei City,Sanchong District
Taiwan,Taipei,New Taipei City,Yonghe District
Taiwan,Taipei,New Taipei City,Zhonghe District
Taiwan,Taipei,New Taipei City,Xindian District
Taiwan,Taipei,New Taipei City,Xinzhuang District
Taiwan,Taipei,New Taipei City,Shulin District
Taiwan,Taipei,New Taipei City,Yingge District
Taiwan,Taipei,New Taipei City,Sanxia District
Taiwan,Taipei,New Taipei City,Tamsui District
Taiwan,Taipei,New Taipei City,Xizhi District
Taiwan,Taipei,New Taipei City,Ruifang District
Taiwan,Taipei,New Taipei City,Tucheng District
Taiwan,Taipei,New Taipei City,Luzhou District
Taiwan,Taipei,New Taipei City,Wugu District
Taiwan,Taipei,New Taipei City,Taishan District
Taiwan,Taipei,New Taipei City,Linkou District
Taiwan,Taipei,New Taipei City,Shenkeng District
Taiwan,Taipei,New Taipei City,Shiding District
Taiwan,Taipei,New Taipei City,Pinglin District
Taiwan,Taipei,New Taipei City,Sanzhi District
Taiwan,Taipei,New Taipei City,Shimen District
Taiwan,Taipei,New Taipei City,Bali District
Taiwan,Taipei,New Taipei City,Pingxi District
Taiwan,Taipei,New Taipei City,Shuangxi District
Taiwan,Taipei,New Taipei City,Gongliao District
Taiwan,Taipei,New Taipei City,Jinshan District
Taiwan,Taipei,New Taipei City,Wanli District
Taiwan,Taipei,New Taipei City,Wulai District
Taiwan,Taipei,New Taipei City,Other
Taiwan,Taipei,Yilan County,Yilan City
Taiwan,Taipei,Yilan County,Luodong Township
Taiwan,Taipei,Yilan County,Su'ao Township
Taiwan,Taipei,Yilan County,Toucheng Township
Taiwan,Taipei,Yilan County,Jiaoxi Township
Taiwan,Taipei,Yilan County,Zhuangwei Township
Taiwan,Taipei,Yilan County,Yuanshan Township
Taiwan,Taipei,Yilan County,Dongshan Township
Taiwan,Taipei,Yilan County,Wujie Township
Taiwan,Taipei,Yilan County,Sanxing Township
Taiwan,Taipei,Yilan County,Datong Township
Taiwan,Taipei,Yilan County,Nan'ao Township
Taiwan,Taipei,Yilan County,Other
Taiwan,Taipei,Kinmen County,Jincheng Township
Taiwan,Taipei,Kinmen County,Jinsha Township
Taiwan,Taipei,Kinmen County,Jinhu Township
Taiwan,Taipei,Kinmen County,Jinning Township
Taiwan,Taipei,Kinmen County,Lieyu Township
Taiwan,Taipei,Kinmen County,Wuqiu Township
Taiwan,Taipei,Kinmen County,Other
Taiwan,Taipei,Lienchiang County,Nangan Township
Taiwan,Taipei,Lienchiang County,Beigan Township
Taiwan,Taipei,Lienchiang County,Juguang Township
Taiwan,Taipei,Lienchiang County,Dongyin Township
Taiwan,Taipei,Lienchiang County,Other
Taiwan,Northern,Hsinchu City,East District
Taiwan,Northern,Hsinchu City,North District
Taiwan,Northern,Hsinchu City,Xiangshan District
Taiwan,Northern,Hsinchu City,Other
Taiwan,Northern,Taoyuan City,Taoyuan District
Taiwan,Northern,Taoyuan City,Zhongli District
Taiwan,Northern,Taoyuan City,Daxi District
Taiwan,Northern,Taoyuan City,Yangmei District
Taiwan,Northern,Taoyuan City,Luzhu District
Taiwan,Northern,Taoyuan City,Dayuan District
Taiwan,Northern,Taoyuan City,Guishan District
Taiwan,Northern,Taoyuan City,Bade District
Taiwan,Northern,Taoyuan City,Longtan District
Taiwan,Northern,Taoyuan City,Pingzhen District
Taiwan,Northern,Taoyuan City,Xinwu District
Taiwan,Northern,Taoyuan City,Guanyin District
Taiwan,Northern,Taoyuan City,Fuxing District
Taiwan,Northern,Taoyuan City,Other
Taiwan,Northern,Hsinchu County,Guanxi Township
Taiwan,Northern,Hsinchu County,Xinpu Township
Taiwan,Northern,Hsinchu County,Zhudong Township
Taiwan,Northern,Hsinchu County,Zhubei City
Taiwan,Northern,Hsinchu County,Hukou Township
Taiwan,Northern,Hsinchu County,Hengshan Township
Taiwan,Northern,Hsinchu County,Xinfeng Township
Taiwan,Northern,Hsinchu County,Qionglin Township
Taiwan,Northern,Hsinchu County,Baoshan Township
Taiwan,Northern,Hsinchu County,Beipu Township
Taiwan,Northern,Hsinchu County,Emei Township
Taiwan,Northern,Hsinchu County,Jianshi Township
Taiwan,Northern,Hsinchu County,Wufeng Township
Taiwan,Northern,Hsinchu County,Other
Taiwan,Northern,Miaoli County,Miaoli City
Taiwan,Northern,Miaoli County,Yuanli Township
Taiwan,Northern,Miaoli County,Tongxiao Township
Taiwan,Northern,Miaoli County,Zhunan Township
Taiwan,Northern,Miaoli County,Toufen Township
Taiwan,Northern,Miaoli County,Houlong Township
Taiwan,Northern,Miaoli County,Zhuolan Township
Taiwan,Northern,Miaoli County,Dahu Township
Taiwan,Northern,Miaoli County,Gongguan Township
Taiwan,Northern,Miaoli County,Tongluo Township
Taiwan,Northern,Miaoli County,Nanzhuang Township
Taiwan,Northern,Miaoli County,Touwu Township
Taiwan,Northern,Miaoli County,Sanyi Township
Taiwan,Northern,Miaoli County,Xihu Township
Taiwan,Northern,Miaoli County,Zaoqiao Township
Taiwan,Northern,Miaoli County,Sanwan Township
Taiwan,Northern,Miaoli County,Shitan Township
Taiwan,Northern,Miaoli County,Tai'an Township
Taiwan,Northern,Miaoli County,Other
Taiwan,Central,Taichung City,Fengyuan District
Taiwan,Central,Taichung City,Dongshi District
Taiwan,Central,Taichung City,Dajia District
Taiwan,Central,Taichung City,Qingshui District
Taiwan,Central,Taichung City,Shalu District
Taiwan,Central,Taichung City,Wuqi District
Taiwan,Central,Taichung City,Houli District
Taiwan,Central,Taichung City,Shengang District
Taiwan,Central,Taichung City,Tanzi District
Taiwan,Central,Taichung City,Daya District
Taiwan,Central,Taichung City,Xinshe District
Taiwan,Central,Taichung City,Shigang District
Taiwan,Central,Taichung City,Waipu District
Taiwan,Central,Taichung City,Da'an District
Taiwan,Central,Taichung City,Wuri District
Taiwan,Central,Taichung City,Dadu District
Taiwan,Central,Taichung City,Longjing District
Taiwan,Central,Taichung City,Wufeng District
Taiwan,Central,Taichung City,Taiping District
Taiwan,Central,Taichung City,Dali District
Taiwan,Central,Taichung City,Heping District
Taiwan,Central,Taichung City,Central District
Taiwan,Central,Taichung City,East District
Taiwan,Central,Taichung City,West District
Taiwan,Central,Taichung City,South District
Taiwan,Central,Taichung City,North District
Taiwan,Central,Taichung City,Xitun District
Taiwan,Central,Taichung City,Nantun District
Taiwan,Central,Taichung City,Beitun District
Taiwan,Central,Taichung City,Other
Taiwan,Central,Changhua County,Changhua City
Taiwan,Central,Changhua County,Lukang Township
Taiwan,Central,Changhua County,Hemei Township
Taiwan,Central,Changhua County,Beidou Township
Taiwan,Central,Changhua County,Yuanlin Township
Taiwan,Central,Changhua County,Xihu Township
Taiwan,Central,Changhua County,Tianzhong Township
Taiwan,Central,Changhua County,Erlin Township
Taiwan,Central,Changhua County,Xianxi Township
Taiwan,Central,Changhua County,Shengang Township
Taiwan,Central,Changhua County,Fuxing Township
Taiwan,Central,Changhua County,Xiushui Township
Taiwan,Central,Changhua County,Huatan Township
Taiwan,Central,Changhua County,Fenyuan Township
Taiwan,Central,Changhua County,Dacun Township
Taiwan,Central,Changhua County,Puyan Township
Taiwan,Central,Changhua County,Puxin Township
Taiwan,Central,Changhua County,Yongjing Township
Taiwan,Central,Changhua County,Shetou Township
Taiwan,Central,Changhua County,Ershui Township
Taiwan,Central,Changhua County,Tianwei Township
Taiwan,Central,Changhua County,Pitou Township
Taiwan,Central,Changhua County,Fangyuan Township
Taiwan,Central,Changhua County,Dacheng Township
Taiwan,Central,Changhua County,Zhutang Township
Taiwan,Central,Changhua County,Xizhou Township
