Month/Week,"#",,,,,,,,,,,,,,,,
"",,Flu A,,,,,,,,Metapnu,,,,Corona,Corona,Corona,Corona
"",,(H1N1),,,,,,,,,,,,,,,
"",,,Flu A (H3),Flu B,RSV A,RSV B,Paraflu 2,Paraflu 3,Rhino,,,,,,,,
"",,,,,,,,,,emo,,,,,,,
"",,,,,,,,,,,Adeno B,Adeno C,Adeno E,,,,
"",,,,,,,,,,,,,,OC43,NL63,229E,HKU1
March,,,,,,,,,,,,,,,,,
Current,35,1,1,5,0,0,0,0,1,2,0,0,0,0,2,0,0
11,40,1,3,11,1,0,0,0,1,1,0,1,0,0,0,0,0
10,54,1,3,6,6,1,0,0,8,1,1,0,4,1,2,1,0
February,,,,,,,,,,,,,,,,,
9,56,2,4,10,0,0,1,0,2,2,1,0,0,0,3,1,0
8,52,2,8,7,1,0,0,0,5,2,4,0,0,0,1,1,0
7,82,0,11,17,5,0,0,1,10,4,2,0,2,3,1,1,1
