Hamilton County (Chattanooga),3,4,.,0,444,0.0%
East Tennessee Region,5,7,.,0,1852,0.0%
Jackson-Madison County,0,1,.,0,0,0.0% n/a
Knoxville-Knox County,2,3,.,2,447,0.5% higher
Mid-Cumberland Region,6,15,.,0,592,0.0%
Shelby County (Memphis),1,11,.,0,109,0.0%
Nashville-Davidson County,2,10,.,0,339,0.0%
Northeast Region,4,5,.,1,399,0.3%
South Central Region,3,3,.,0,189,0.0%
Southeast Region,2,5,.,0,153,0.0%
Sullivan County (Tri-Cities),1,1,.,0,289,0.0%
Upper Cumberland Region,4,4,.,0,592,0.0%
West Tennessee Region,6,6,.,0,335,0.0%
