Summary for,reporting,Providers,ILI,Patients,% ILI to State,,
"",,,,,,,Important News for Sentinel Providers:
Chattanooga-Hamilton County,3,5,0,420,0.0%,,
East Tennessee Region,7,7,10,3229,0.3%,,Surveillance Summary Publication Change:
Jackson-Madison County,1,1,20,914,2.2% higher,,Because the new respiratory viral panel (RVP)
Knoxville-Knox County,4,4,6,1442,0.4%,,"test takes 2 days to complete, this report will"
Mid-Cumberland Region,7,10,0,856,0.0% lower,,be distributed each Thursday to include final
Memphis-Shelby County,1,5,0,76,0.0%,,lab results from all specimens submitted in the
Nashville-Davidson County,5,6,20,2101,1.0% higher,,previous week.
Northeast Region,2,3,1,322,0.3%,,
South Central Region,3,3,0,272,0.0%,,Specimen Collection Change:
Southeast Region,3,4,0,535,0.0%,,The new RVP test requires specimens from the
Sullivan County,1,2,0,271,0.0%,,nasopharynx (NP swab).  Specimens from any
Upper Cumberland Region,5,5,0,820,0.0% lower,,other site (such as the oropharynx) will not be
West Tennessee Region,4,6,0,270,0.0%,,tested.
State of Tennessee,46,61,57,11528,0.49%,,
