"REPORTING  AREAS**","JAN","FEB","MAR","APR","DENGUEMAY","HEMORJUN","RHAGICJUL","2013 FEVER AUG","- TOTAL SEP","(DF+DHF+OCT","DSS)NOV","DEC","TOTAL","TOTAL","CASERATE PER 100,000.00","CASEFATALITYRATE","POP.DEC. 31, 2012"
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"TOTAL","7948","5969","7592","8852","15343","27784","30520","22062","11474","6618","4806","1486","150454","133","234.11","0.09","64,266,365"
"CENTRAL REGION","3299","2153","2186","1880","2239","3133","4728","5154","3727","3245","2927","787","35458","22","166.71","0.06","21,268,749"
"BANGKOK  METRO  POLIS","1509","762","643","550","635","965","1862","2138","1639","1641","1561","229","14134","2","249.09","0.01","5,674,202"
"ZONE  1","350","265","302","184","228","272","519","684","443","371","320","147","4085","7","114.48","0.17","3,568,169"
"NONTHABURI","106","85","106","57","62","71","132","211","172","146","122","66","1336","0","118.01","0.00","1,132,150"
"P.NAKORN S.AYUTTHAYA","96","88","71","39","24","38","73","86","73","54","38","38","718","0","90.82","0.00","790,581"
"PATHUM THANI","108","73","73","61","90","105","166","153","92","87","88","25","1121","3","109.65","0.27","1,022,367"
"SARABURI","40","19","52","27","52","58","148","234","106","84","72","18","910","2","146.05","0.22","623,071"
"ZONE  2","109","118","125","65","109","206","287","181","115","107","94","37","1553","0","97.82","0.00","1,587,681"
"ANG THONG","24","17","15","19","25","24","21","33","20","20","7","6","231","0","81.35","0.00","283,972"
"CHAI NAT","40","41","44","26","33","68","101","20","5","13","4","3","398","0","119.44","0.00","333,214"
"LOP BURI","38","57","55","17","47","84","147","116","87","73","80","27","828","0","109.37","0.00","757,093"
"SING BURI","7","3","11","3","4","30","18","12","3","1","3","1","96","0","44.99","0.00","213,402"
"ZONE  3","308","225","294","284","450","508","646","652","401","259","213","79","4319","3","136.29","0.07","3,168,989"
"CHACHOENGSAO","40","31","36","34","54","99","127","104","80","46","31","9","691","1","101.24","0.14","682,545"
"NAKHON NAYOK","10","26","26","29","63","51","53","52","23","10","1","0","344","0","135.17","0.00","254,502"
"PRACHIN BURI","34","25","39","49","98","183","218","164","80","26","21","8","945","0","200.33","0.00","471,711"
"SA KAEO","23","14","33","38","72","93","127","109","45","16","11","3","584","0","106.77","0.00","546,969"
"SAMUT PRAKAN","201","129","160","134","163","82","121","223","173","161","149","59","1755","2","144.65","0.11","1,213,262"
"ZONE  4","403","353","295","251","136","156","396","545","429","346","291","100","3701","3","108.86","0.08","3,399,770"
"KANCHANABURI","65","52","49","44","34","38","74","70","31","28","15","5","505","1","60.22","0.20","838,591"
"NAKHON PATHOM","129","122","110","108","35","31","115","209","152","100","82","39","1232","2","141.55","0.16","870,340"
"RATCHABURI","111","109","75","61","43","50","165","207","175","156","131","36","1319","0","156.16","0.00","844,658"
"SUPHAN BURI","98","70","61","38","24","37","42","59","71","62","63","20","645","0","76.22","0.00","846,181"
"ZONE  5","208","152","149","98","88","99","194","195","143","136","133","66","1661","1","98.85","0.06","1,680,305"
"PHETCHABURI","0","0","0","1","6","0","1","4","0","7","2","9","30","0","6.42","0.00","467,476"
"PRACHUAP KHIRI KHAN","39","29","43","31","34","46","73","41","30","20","17","17","420","1","81.58","0.24","514,809"
"SAMUT SAKHON","147","100","71","43","37","42","100","116","88","74","89","32","939","0","186.33","0.00","503,956"
"SAMUT SONGKHRAM","22","23","35","23","11","11","20","34","25","35","25","8","272","0","140.16","0.00","194,064"
"ZONE  9","412","278","378","448","593","927","824","759","557","385","315","129","6005","6","219.43","0.10","2,736,602"
"CHANTHABURI","62","36","65","104","183","281","272","190","119","80","53","10","1455","1","280.17","0.07","519,333"
"CHON BURI","144","119","120","155","166","270","204","316","251","165","118","46","2074","3","153.48","0.14","1,351,329"
"RAYONG","181","104","126","109","130","207","237","200","159","125","129","65","1772","1","275.37","0.06","643,506"
"TRAT","25","19","67","80","114","169","111","53","28","15","15","8","704","1","316.50","0.14","222,434"
"SOUTHERN REGION","2293","1656","1888","2127","3203","4305","3021","1985","1093","875","779","430","23655","36","247.36","0.15","9,562,990"
"ZONE  6","923","654","620","658","1065","1509","938","668","404","227","216","116","7998","15","225.00","0.19","3,554,678"
"CHUMPHON","69","97","115","109","188","293","249","116","94","35","49","24","1438","4","291.24","0.28","493,746"
"NAKHON SI THAMMARAT","565","388","325","358","665","934","486","360","181","95","104","35","4496","7","293.76","0.16","1,530,479"
"PHATTHALUNG","57","36","33","38","38","51","55","53","28","44","33","24","490","1","95.56","0.20","512,777"
"SURAT THANI","232","133","147","153","174","231","148","139","101","53","30","33","1574","3","154.67","0.19","1,017,676"
"ZONE  7","391","320","454","759","1056","1258","799","572","293","254","205","112","6473","6","346.58","0.09","1,867,653"
"KRABI","201","166","185","206","385","377","190","139","49","63","55","18","2034","2","460.70","0.10","441,503"
"PHANGNGA","54","51","63","144","164","126","112","11","14","13","8","0","760","2","296.63","0.26","256,212"
"PHUKET","25","35","132","298","332","474","315","254","155","99","77","63","2259","2","632.11","0.09","357,376"
"RANONG","15","11","18","29","42","60","38","39","12","16","15","5","300","0","163.71","0.00","183,248"
"TRANG","96","57","56","82","133","221","144","129","63","63","50","26","1120","0","177.97","0.00","629,314"
"ZONE  8","979","682","814","710","1082","1538","1284","745","396","394","358","202","9184","15","255.56","0.16","3,593,690"
"NARATHIWAT","94","59","92","54","54","150","282","238","150","153","116","56","1498","1","199.10","0.07","752,384"
"PATTANI","89","80","102","81","85","125","138","102","88","108","111","73","1182","1","177.07","0.08","667,550"
"SATUN","37","17","22","27","53","60","68","32","19","21","11","6","373","1","122.83","0.27","303,674"
"SONGKHLA","710","491","558","489","826","1130","752","332","113","93","97","48","5639","11","410.77","0.20","1,372,792"
"YALA","49","35","40","59","64","73","44","41","26","19","23","19","492","1","98.94","0.20","497,290"

"REPORTING  AREAS**","JAN","FEB","MAR","APR","DENGUEMAY","HEMORJUN","RHAGICJUL","2013 FEVER AUG","- TOTAL SEP","(DF+DHFOCT","+DSS)NOV","DEC","TOTAL","TOTAL","CASERATE PER 100,000.00","CASEFATALITYRATE","POP.DEC. 31, 2012"
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"NORTH-EASTERN REGION","1478","1405","2389","2883","5480","9995","10730","7324","3083","1164","413","71","46415","40","214.47","0.09","21,641,689"
"ZONE  10","180","183","349","568","1040","1732","1789","905","284","101","39","8","7178","10","199.10","0.14","3,605,147"
"BUNGKAN","8","9","38","115","185","314","163","72","23","2","0","2","931","2","227.00","0.21","410,124"
"LOEI","83","89","156","256","472","669","607","251","80","57","24","5","2749","7","438.19","0.25","627,354"
"NONG BUA LAM PHU","31","44","108","124","186","280","226","118","25","6","0","0","1148","0","227.86","0.00","503,811"
"NONG KHAI","21","16","12","25","105","193","401","210","67","17","6","0","1073","0","209.92","0.00","511,155"
"UDON THANI","37","25","35","48","92","276","392","254","89","19","9","1","1277","1","82.24","0.08","1,552,703"
"ZONE  11","84","77","221","406","872","1254","739","265","70","44","13","0","4045","5","186.02","0.12","2,174,547"
"MUKDAHAN","20","20","39","91","231","261","165","116","33","15","6","0","997","1","291.76","0.10","341,725"
"NAKHON PHANOM","37","35","91","238","527","764","458","128","31","26","5","0","2340","2","331.18","0.09","706,559"
"SAKON NAKHON","27","22","91","77","114","229","116","21","6","3","2","0","708","2","62.86","0.28","1,126,263"
"ZONE  12","326","275","424","428","957","1956","2936","2454","1075","368","112","6","11317","6","226.20","0.05","5,003,067"
"KALASIN","19","18","46","53","110","178","520","309","116","49","24","1","1443","2","146.74","0.14","983,370"
"KHON KAEN","107","63","96","103","213","364","802","790","351","98","29","1","3017","3","170.41","0.10","1,770,441"
"MAHA SARAKHAM","96","91","139","67","164","484","610","591","310","127","39","0","2718","1","288.40","0.04","942,442"
"ROI ET","104","103","143","205","470","930","1004","764","298","94","20","4","4139","0","316.72","0.00","1,306,814"
"ZONE  13","218","274","445","563","1287","2268","1997","1224","554","242","85","31","9188","6","219.33","0.07","4,189,204"
"AMNAT CHAROEN","8","14","9","45","109","139","129","60","28","11","0","1","553","2","148.31","0.36","372,868"
"SI SA KET","107","115","192","281","628","1175","1065","621","304","125","53","16","4682","1","321.72","0.02","1,455,287"
"UBON RATCHATHANI","78","117","225","204","438","743","622","409","146","74","27","13","3096","3","169.97","0.10","1,821,489"
"YASOTHON","25","28","19","33","112","211","181","134","76","32","5","1","857","0","158.83","0.00","539,560"
"ZONE  14","670","596","950","918","1324","2785","3269","2476","1100","409","164","26","14687","13","220.20","0.09","6,669,724"
"BURI RAM","111","120","183","154","206","457","423","405","293","96","52","13","2513","2","160.79","0.08","1,562,912"
"CHAIYAPHUM","42","48","103","106","137","258","200","111","81","35","18","2","1141","0","100.95","0.00","1,130,228"
"NAKHON RATCHASIMA","294","221","366","366","663","1364","1767","1295","378","165","56","11","6946","6","267.85","0.09","2,593,246"
"SURIN","223","207","298","292","318","706","879","665","348","113","38","0","4087","5","295.44","0.12","1,383,338"
"NORTHERN REGION","878","755","1129","1962","4421","10351","12041","7599","3571","1334","687","198","44926","35","380.96","0.08","11,792,937"
"ZONE  15","209","157","266","827","1860","4630","4824","2811","1362","463","248","70","17727","12","579.96","0.07","3,056,581"
"CHIANG MAI","138","90","175","577","1294","3126","3152","1689","817","240","121","38","11457","8","693.99","0.07","1,650,893"
"LAMPANG","29","33","29","107","266","879","775","582","297","84","37","4","3122","2","412.32","0.06","757,173"
"LAMPHUN","37","23","48","97","114","208","381","212","88","38","4","1","1251","1","309.41","0.08","404,313"
"MAE HONG SON","5","11","14","46","186","417","516","328","160","101","86","27","1897","1","776.82","0.05","244,202"
"ZONE  16","175","80","151","323","1253","3197","4787","3725","1641","543","194","45","16114","11","614.53","0.07","2,622,155"
