"","","","","","","","","2015","","","","","","","CASE","CASE","POP."
"REPORTING  AREAS","JAN","FEB","MAR","APR","DENGUMAY","E HEMOJUN","RRHAGICJUL","FEVER -AUG","TOTALSEP","(DF+DHFOCT","+DSS)NOV","DEC","TOTAL","TOTAL","RATE PER 100,000.00","FATALITYRATE","DEC. 31,2014"
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"Total","2621","2162","2714","3416","8039","12847","17634","21762","21245","18079","23235","9171","142925","141","219.46","0.10","65,124,716"
"Northern Region","122","130","220","383","1388","2564","3491","4118","4066","2932","3033","1033","23480","16","198.20","0.07","11,846,651"
"ZONE 1","38","30","22","88","607","1300","1807","2202","2166","1486","1492","523","11761","9","205.99","0.08","5,709,443"
"Chiang Mai","17","13","7","25","173","373","599","810","1061","896","849","266","5089","4","303.23","0.08","1,678,284"
"Lamphun","0","0","1","2","8","31","41","91","163","179","144","50","710","0","175.11","0.00","405,468"
"Lampang","4","3","0","9","59","190","230","256","291","133","141","71","1387","0","184.19","0.00","753,013"
"Phrae","1","3","7","20","94","201","322","375","207","48","45","24","1347","4","296.64","0.30","454,083"
"Nan","0","0","3","17","83","95","130","102","61","20","12","7","530","0","110.82","0.00","478,264"
"Phayao","0","0","1","4","37","57","59","40","30","27","37","23","315","1","65.02","0.32","484,454"
"Chiang Rai","6","1","2","9","138","283","250","337","256","130","209","71","1692","0","140.10","0.00","1,207,699"
"Mae Hong Son","10","10","1","2","15","70","176","191","97","53","55","11","691","0","278.43","0.00","248,178"
"ZONE 2","42","40","98","121","324","634","810","882","776","471","596","205","4999","3","144.60","0.06","3,457,208"
"Uttaradit","3","0","0","3","7","16","37","77","80","34","33","12","302","1","65.60","0.33","460,400"
"Tak","29","14","27","44","182","379","450","327","255","175","181","71","2134","1","395.51","0.05","539,553"
"Sukhothai","2","14","59","57","63","60","44","66","58","49","82","41","595","0","98.76","0.00","602,460"
"Phitsanulok","5","2","4","7","22","88","161","240","225","138","223","68","1183","1","137.72","0.08","858,988"
"Phetchabun","3","10","8","10","50","91","118","172","158","75","77","13","785","0","78.83","0.00","995,807"
"ZONE 3","53","73","110","188","491","735","953","1118","1194","1046","1015","345","7321","5","243.04","0.07","3,012,283"
"Chai Nat","11","13","10","14","34","105","79","84","70","71","70","40","601","1","180.87","0.17","332,283"
