"REPORTING  AREAS**","JAN","FEB","MAR","DENGUAPR","E HAEMAY","MORRHJUN","200AGIC FEJUL","8VER - TOAUG","TAL (DSEP","F+DHFOCT","+DSS)NOV","DEC","TOTALT","OTAL","CASERATE PER 100000","CASEFATALITYRATE","POP.DEC. 31, 2007"
"TOTAL","C3250","C3084","C3758","C4481","C8497","C13310","C13911","C12400","C8764","C7855","C5984","C2200","C87494","D101","POP.138.80","(%)0.12","6 3,038,247"
"CENTRAL REGION","1920","1906","2282","2477","3809","5781","6086","5909","4672","4305","3412","1124","43683","57","206.78","0.13","2 1,125,835"
"BANGKOK  METRO  POLIS","601","548","604","655","712","1024","1167","1708","1589","1659","1336","243","11846","15","207.23","0.13","5 ,716,248"
"ZONE  1","222","247","370","313","388","708","878","766","551","521","428","197","5589","6","169.49","0.11","3 ,297,502"
"NONTHABURI","89","79","132","114","125","306","495","334","263","257","205","99","2498","3","243.90","0.12","1 ,024,191"
"P.NAKORN S.AYUTTHAYA","84","117","160","105","112","136","132","200","121","130","89","42","1428","2","187.72","0.14","7 60,712"
"PATHUM THANI","33","19","41","51","71","114","135","118","100","80","81","32","875","0","97.56","0.00","8 96,843"
"SARABURI","16","32","37","43","80","152","116","114","67","54","53","24","788","1","127.97","0.13","6 15,756"
"ZONE  2","202","221","250","188","315","453","364","211","223","231","137","68","2863","3","180.40","0.10","1 ,587,027"
"ANG THONG","82","91","94","60","57","83","104","55","51","67","33","21","798","1","280.58","0.13","2 84,406"
"CHAI NAT","45","16","44","40","74","125","76","39","39","31","20","3","552","1","163.73","0.18","3 37,147"
"LOP BURI","60","95","99","82","173","219","166","107","121","129","76","40","1367","0","182.31","0.00","7 49,821"
"SING BURI","15","19","13","6","11","26","18","10","12","4","8","4","146","1","67.70","0.68","2 15,653"
"ZONE  3","262","267","306","326","529","891","1116","984","702","572","429","208","6592","9","217.66","0.14","3 ,028,527"
"CHACHOENGSAO","31","51","68","73","95","230","264","188","163","120","70","41","1394","1","211.54","0.07","6 58,966"
"NAKHON NAYOK","31","30","35","21","37","54","19","20","11","11","12","1","282","0","113.48","0.00","2 48,496"
"PRACHIN BURI","46","54","48","84","128","193","198","112","53","28","13","7","964","1","211.87","0.10","4 54,988"
"SA KAEO","14","24","41","37","128","129","206","117","48","28","30","5","807","3","149.68","0.37","5 39,137"
"SAMUT PRAKAN","140","108","114","111","141","285","429","547","427","385","304","154","3145","4","279.07","0.13","1 ,126,940"
"ZONE  4","316","345","350","417","727","1099","1192","1138","813","723","547","227","7894","10","236.33","0.13","3 ,340,274"
"KANCHANABURI","38","54","73","76","147","162","135","126","101","114","106","42","1174","4","140.55","0.34","8 35,282"
"NAKHON PATHOM","73","73","60","98","153","257","416","462","385","263","201","115","2556","2","307.59","0.08","8 30,970"
"RATCHABURI","97","118","160","169","346","586","554","423","222","225","154","49","3103","4","373.21","0.13","8 31,438"
"SUPHAN BURI","108","100","57","74","81","94","87","127","105","121","86","21","1061","0","125.92","0.00","8 42,584"
"ZONE  5","196","166","191","235","298","392","334","269","207","178","201","80","2747","6","170.11","0.22","1 ,614,795"
"PHETCHABURI","37","50","36","40","51","88","123","80","41","26","32","33","637","2","139.67","0.31","4 56,061"
"PRACHUAP KHIRI KHAN","54","37","65","110","147","184","42","42","26","23","27","14","771","1","155.89","0.13","4 94,588"
"SAMUT SAKHON","87","75","81","75","88","95","140","124","119","122","137","31","1174","3","249.82","0.26","4 69,934"
"SAMUT SONGKHRAM","18","4","9","10","12","25","29","23","21","7","5","2","165","0","84.96","0.00","1 94,212"
"ZONE  9","121","112","211","343","840","1214","1035","833","587","421","334","101","6152","8","242.07","0.13","2 ,541,462"
"CHANTHABURI","31","36","77","104","223","255","181","129","83","33","28","5","1185","2","235.12","0.17","5 04,003"
"CHON BURI","11","8","25","50","218","397","435","410","349","265","197","24","2389","4","193.69","0.17","1 ,233,446"
"RAYONG","63","49","78","129","308","490","380","262","131","107","103","68","2168","2","371.57","0.09","5 83,470"
