"REPORTING  AREAS**","","","","DEN","GUE HA","EMORR","2HAGIC","010FEVER -","TOTAL (","DF+DHF","+DSS)","","","","CASERATE PER","CASEFATALITY","POP.DEC. 31, 2009"
"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","TOTAL","TOTAL","100000","RATE",""
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"TOTAL","3618","3709","4539","4301","75891","3882","21398","23260","16037","8976","5688","2848","115845","141","182.36","0.12","6 3,525,062"
"CENTRAL REGION","1930","1902","2051","1568","1945","2993","4521","5235","4861","3756","3155","1690","35607","32","166.04","0.09","21,445,124"
"BANGKOK  METRO  POLIS","617","621","591","381","348","536","901","1399","1576","1654","1462","826","10912","9","191.35","0.08","5,702,595"
"ZONE  1","278","236","262","123","104","207","408","584","531","384","338","140","3595","2","105.05","0.06","3,422,311"
"NONTHABURI","136","111","112","36","40","97","166","213","207","199","182","85","1584","1","146.93","0.06","1 ,078,071"
"P.NAKORN S.AYUTTHAYA","54","45","28","30","14","19","62","84","99","58","49","22","564","0","72.76","0.00","775,157"
"PATHUM THANI","69","52","99","40","25","49","89","152","114","62","50","15","816","0","85.32","0.00","9 56,376"
"SARABURI","19","28","23","17","25","42","91","135","111","65","57","18","631","1","102.99","0.16","612,707"
"ZONE  2","60","92","108","65","46","102","298","488","353","84","57","43","1796","6","112.96","0.33","1,589,978"
"ANG THONG","13","22","21","18","12","22","47","73","52","16","7","5","308","0","108.14","0.00","2 84,807"
"CHAI NAT","10","5","8","18","9","11","22","37","45","17","16","7","205","2","61.12","0.98","3 35,420"
"LOP BURI","33","64","77","25","24","65","225","358","239","41","34","31","1216","2","161.18","0.16","7 54,452"
"SING BURI","4","1","2","4","1","4","4","20","17","10","0","0","67","2","31.12","2.99","2 15,299"
"ZONE  3","248","251","351","241","366","594","805","824","675","476","379","205","5415","4","175.30","0.07","3 ,089,076"
"CHACHOENGSAO","48","55","58","51","60","76","146","167","140","126","125","66","1118","0","167.12","0.00","668,983"
"NAKHON NAYOK","3","10","6","2","10","18","8","20","9","11","1","0","98","0","38.94","0.00","2 51,683"
"PRACHIN BURI","34","29","42","69","133","234","275","202","149","55","21","8","1251","1","270.86","0.08","461,854"
"SA KAEO","17","32","41","26","74","142","162","157","106","20","7","4","788","0","145.27","0.00","5 42,451"
"SAMUT PRAKAN","146","125","204","93","89","124","214","278","271","264","225","127","2160","3","185.55","0.14","1,164,105"
"ZONE  4","302","299","245","149","132","199","387","524","561","518","398","218","3932","3","116.86","0.08","3 ,364,670"
"KANCHANABURI","37","49","40","20","31","59","111","122","106","64","45","2","686","0","82.31","0.00","833,423"
