"","","","","","","","2011","","","","","","","","CASE","CASE","POP."
"REPORTING  AREAS**","","","","DEN","GUE HE","MORRHA","GIC FEVE","R - TOT","AL (DF+","DHF+D","SS)","","","","RATE PER","FATALITY","DEC. 31, 2010"
"","","","","","","","","","","","","","","","","",""
"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","TOTALT","OTAL","100,000.00","RATE",""
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"NORTH-EASTERN REGION","229","162","295","449","1675","3253","3421","2650","1459","664","458","196","14911","13","69.12","0.09","21,573,318"
"ZONE  10","9","11","8","16","77","180","181","108","87","26","22","4","729","1","20.34","0.14","3,584,657"
"BUNGKAN","0","1","0","0","2","13","11","6","7","0","0","0","40","0","9.91","0.00","403,542"
"LOEI","1","7","5","11","45","68","81","26","36","16","10","2","308","1","49.35","0.32","624,066"
"NONG BUA LAM PHU","1","1","3","3","13","34","23","13","3","0","0","0","94","0","18.69","0.00","502,868"
"NONG KHAI","5","1","0","1","3","34","35","31","21","2","6","0","139","0","27.29","0.00","509,395"
"UDON THANI","2","1","0","1","14","31","31","32","20","8","6","2","148","0","9.58","0.00","1,544,786"
"ZONE  11","1","4","6","10","48","110","112","67","33","18","3","5","417","2","19.25","0.48","2,165,872"
"MUKDAHAN","0","1","6","4","11","32","37","12","7","2","0","0","112","1","32.98","0.89","339,575"
"NAKHON PHANOM","1","2","0","3","28","51","58","38","20","10","3","5","219","0","31.13","0.00","703,392"
"SAKON NAKHON","0","1","0","3","9","27","17","17","6","6","0","0","86","1","7.66","1.16","1,122,905"
"ZONE  12","39","29","44","79","343","716","899","758","429","200","124","57","3717","8","74.33","0.22","5,000,798"
"KALASIN","7","1","4","7","26","42","72","44","17","10","3","6","239","2","24.32","0.84","982,578"
"KHON KAEN","14","11","6","28","106","216","298","188","130","83","46","35","1161","3","65.68","0.26","1,767,601"
"MAHA SARAKHAM","9","5","11","9","48","79","145","103","106","41","30","5","591","0","62.81","0.00","940,911"
"ROI ET","9","12","23","35","163","379","384","423","176","66","45","11","1726","3","131.79","0.17","1,309,708"
"ZONE  13","41","42","68","131","557","812","848","681","334","148","74","25","3761","0","90.04","0.00","4,176,953"
"AMNAT CHAROEN","5","2","7","8","65","63","99","30","19","3","7","3","311","0","83.57","0.00","372,137"
"SI SA KET","15","21","43","88","332","426","488","397","186","88","41","20","2145","0","147.68","0.00","1,452,471"
"UBON RATCHATHANI","20","19","17","30","142","288","221","208","114","47","24","2","1132","0","62.43","0.00","1,813,088"
"YASOTHON","1","0","1","5","18","35","40","46","15","10","2","0","173","0","32.08","0.00","539,257"
"ZONE  14","139","76","169","213","650","1435","1381","1036","576","272","235","105","6287","2","94.61","0.03","6,645,038"
"BURI RAM","49","16","42","47","149","415","272","0","3","1","13","16","1023","1","65.84","0.10","1,553,765"
"CHAIYAPHUM","9","8","12","46","90","181","148","147","90","54","45","13","843","0","74.77","0.00","1,127,423"
"NAKHON RATCHASIMA","44","35","56","80","211","402","466","509","309","154","148","65","2479","0","96.01","0.00","2,582,089"
"SURIN","37","17","59","40","200","437","495","380","174","63","29","11","1942","1","140.55","0.05","1,381,761"
"NORTHERN REGION","278","259","293","513","1491","2681","2354","1552","791","426","360","135","11133","16","94.44","0.14","11,788,411"
"ZONE  15","44","11","23","31","186","260","192","142","75","34","52","9","1059","2","34.72","0.19","3,049,730"
"CHIANG MAI","29","7","11","12","87","142","93","95","49","21","39","6","591","2","36.03","0.34","1,640,479"
"LAMPANG","11","3","4","6","26","48","47","26","13","7","5","3","199","0","26.12","0.00","761,949"
"LAMPHUN","2","1","4","5","12","28","16","13","9","4","5","0","99","0","24.47","0.00","404,560"
"MAE HONG SON","2","0","4","8","61","42","36","8","4","2","3","0","170","0","70.03","0.00","242,742"
"ZONE  16","26","13","7","22","84","203","153","137","100","24","23","16","808","1","30.82","0.12","2,621,641"
"CHIANG RAI","21","7","4","10","41","108","92","102","78","21","20","12","516","1","43.06","0.19","1,198,218"
"NAN","0","2","0","3","9","9","9","5","7","1","0","0","45","0","9.45","0.00","476,363"
"PHAYAO","3","3","2","8","23","60","32","14","5","1","1","1","153","0","31.46","0.00","486,304"
"PHRAE","2","1","1","1","11","26","20","16","10","1","2","3","94","0","20.40","0.00","460,756"
"ZONE  17","108","122","134","228","643","1097","862","544","256","156","121","48","4319","6","125.71","0.14","3,435,803"
"PHETCHABUN","24","37","35","80","181","314","240","173","73","42","23","7","1229","3","123.39","0.24","996,031"
"PHITSANULOK","27","31","30","68","176","300","293","147","73","45","38","21","1249","0","146.99","0.00","849,692"
"SUKHOTHAI","16","13","21","50","149","220","171","99","44","28","14","4","829","0","137.76","0.00","601,778"
"TAK","34","36","47","24","91","148","98","73","43","31","27","14","666","2","126.69","0.30","525,684"
"UTTARADIT","7","5","1","6","46","115","60","52","23","10","19","2","346","1","74.79","0.29","462,618"
"ZONE 18","100","113","129","232","578","1121","1147","729","360","212","164","62","4947","7","184.50","0.14","2,681,237"
"KAMPHAENG PHET","16","22","23","43","139","298","242","168","83","61","52","27","1174","2","161.46","0.17","727,093"
"NAKHON SAWAN","52","67","76","147","394","637","556","372","156","93","65","14","2629","3","244.90","0.11","1,073,495"
"PHICHIT","28","18","28","14","31","158","316","168","99","46","31","11","948","2","171.52","0.21","552,690"
"UTHAI THANI","4","6","2","28","14","28","33","21","22","12","16","10","196","0","59.76","0.00","327,959"

