"","","","","","","","","2013","","","","","","","CASE","CASE","POP."
"REPORTING  AREAS**","","","","D","ENGUE H","EMORR","HAGIC F","EVER -","TOTAL (D","F+DHF+","DSS)","","","","RATE PER","FATALITY","DEC. 31, 2012"
"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","TOTALT","OTAL","100,000.00","RATE",""
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"TOTAL","79485","9697","5928","8521","53432","77843","05202","20621","14746","618","48061","486","150454","133","234.11","0.09","64,266,365"
"CENTRAL REGION","32992","1532","1861","880","2239","3133","4728","5154","37273","245","2927","787","35458","22","166.71","0.06","21,268,749"
"BANGKOK  METRO  POLIS","1509","762","643","550","635","965","1862","2138","16391","641","1561","229","14134","2","249.09","0.01","5,674,202"
"ZONE  1","350","265","302","184","228","272","519","684","443","371","320","147","4085","7","114.48","0.17","3,568,169"
"NONTHABURI","106","85","106","57","62","71","132","211","172","146","122","66","1336","0","118.01","0.00","1,132,150"
"P.NAKORN S.AYUTTHAYA","96","88","71","39","24","38","73","86","73","54","38","38","718","0","90.82","0.00","790,581"
"PATHUM THANI","108","73","73","61","90","105","166","153","92","87","88","25","1121","3","109.65","0.27","1,022,367"
"SARABURI","40","19","52","27","52","58","148","234","106","84","72","18","910","2","146.05","0.22","623,071"
"ZONE  2","109","118","125","65","109","206","287","181","115","107","94","37","1553","0","97.82","0.00","1,587,681"
"ANG THONG","24","17","15","19","25","24","21","33","20","20","7","6","231","0","81.35","0.00","283,972"
"CHAI NAT","40","41","44","26","33","68","101","20","5","13","4","3","398","0","119.44","0.00","333,214"
"LOP BURI","38","57","55","17","47","84","147","116","87","73","80","27","828","0","109.37","0.00","757,093"
"SING BURI","7","3","11","3","4","30","18","12","3","1","3","1","96","0","44.99","0.00","213,402"
"ZONE  3","308","225","294","284","450","508","646","652","401","259","213","79","4319","3","136.29","0.07","3,168,989"
"CHACHOENGSAO","40","31","36","34","54","99","127","104","80","46","31","9","691","1","101.24","0.14","682,545"
"NAKHON NAYOK","10","26","26","29","63","51","53","52","23","10","1","0","344","0","135.17","0.00","254,502"
"PRACHIN BURI","34","25","39","49","98","183","218","164","80","26","21","8","945","0","200.33","0.00","471,711"
"SA KAEO","23","14","33","38","72","93","127","109","45","16","11","3","584","0","106.77","0.00","546,969"
"SAMUT PRAKAN","201","129","160","134","163","82","121","223","173","161","149","59","1755","2","144.65","0.11","1,213,262"
"ZONE  4","403","353","295","251","136","156","396","545","429","346","291","100","3701","3","108.86","0.08","3,399,770"
"KANCHANABURI","65","52","49","44","34","38","74","70","31","28","15","5","505","1","60.22","0.20","838,591"
"NAKHON PATHOM","129","122","110","108","35","31","115","209","152","100","82","39","1232","2","141.55","0.16","870,340"
"RATCHABURI","111","109","75","61","43","50","165","207","175","156","131","36","1319","0","156.16","0.00","844,658"
"SUPHAN BURI","98","70","61","38","24","37","42","59","71","62","63","20","645","0","76.22","0.00","846,181"
"ZONE  5","208","152","149","98","88","99","194","195","143","136","133","66","1661","1","98.85","0.06","1,680,305"
"PHETCHABURI","0","0","0","1","6","0","1","4","0","7","2","9","30","0","6.42","0.00","467,476"
"PRACHUAP KHIRI KHAN","39","29","43","31","34","46","73","41","30","20","17","17","420","1","81.58","0.24","514,809"
"SAMUT SAKHON","147","100","71","43","37","42","100","116","88","74","89","32","939","0","186.33","0.00","503,956"
"SAMUT SONGKHRAM","22","23","35","23","11","11","20","34","25","35","25","8","272","0","140.16","0.00","194,064"
"ZONE  9","412","278","378","448","593","927","824","759","557","385","315","129","6005","6","219.43","0.10","2,736,602"
"CHANTHABURI","62","36","65","104","183","281","272","190","119","80","53","10","1455","1","280.17","0.07","519,333"
"CHON BURI","144","119","120","155","166","270","204","316","251","165","118","46","2074","3","153.48","0.14","1,351,329"
"RAYONG","181","104","126","109","130","207","237","200","159","125","129","65","1772","1","275.37","0.06","643,506"
"TRAT","25","19","67","80","114","169","111","53","28","15","15","8","704","1","316.50","0.14","222,434"
"SOUTHERN REGION","22931","6561","8882","127","3203","4305","3021","1985","1093","875","779","430","23655","36","247.36","0.15","9,562,990"
"ZONE  6","923","654","620","658","1065","1509","938","668","404","227","216","116","7998","15","225.00","0.19","3,554,678"
"CHUMPHON","69","97","115","109","188","293","249","116","94","35","49","24","1438","4","291.24","0.28","493,746"
"NAKHON SI THAMMARAT","565","388","325","358","665","934","486","360","181","95","104","35","4496","7","293.76","0.16","1,530,479"
"PHATTHALUNG","57","36","33","38","38","51","55","53","28","44","33","24","490","1","95.56","0.20","512,777"
"SURAT THANI","232","133","147","153","174","231","148","139","101","53","30","33","1574","3","154.67","0.19","1,017,676"
"ZONE  7","391","320","454","759","1056","1258","799","572","293","254","205","112","6473","6","346.58","0.09","1,867,653"
"KRABI","201","166","185","206","385","377","190","139","49","63","55","18","2034","2","460.70","0.10","441,503"
"PHANGNGA","54","51","63","144","164","126","112","11","14","13","8","0","760","2","296.63","0.26","256,212"
"PHUKET","25","35","132","298","332","474","315","254","155","99","77","63","2259","2","632.11","0.09","357,376"
"RANONG","15","11","18","29","42","60","38","39","12","16","15","5","300","0","163.71","0.00","183,248"
"TRANG","96","57","56","82","133","221","144","129","63","63","50","26","1120","0","177.97","0.00","629,314"
"ZONE  8","979","682","814","710","1082","1538","1284","745","396","394","358","202","9184","15","255.56","0.16","3,593,690"
"NARATHIWAT","94","59","92","54","54","150","282","238","150","153","116","56","1498","1","199.10","0.07","752,384"
"PATTANI","89","80","102","81","85","125","138","102","88","108","111","73","1182","1","177.07","0.08","667,550"
"SATUN","37","17","22","27","53","60","68","32","19","21","11","6","373","1","122.83","0.27","303,674"
"SONGKHLA","710","491","558","489","826","1130","752","332","113","93","97","48","5639","11","410.77","0.20","1,372,792"
"YALA","49","35","40","59","64","73","44","41","26","19","23","19","492","1","98.94","0.20","497,290"

