"REPORTING  AREAS**","JAN","FEB","MAR","DAPR","ENGUE HMAY","EMORRJUN","HAGIC FJUL","2013EVER - AUG","TOTAL (DSEP","F+DHOCT","F+DSS)NOV","DEC","TOTALT","OTAL","CASERATE PER 100,000.00","CASEFATALITYRATE","POP.DEC. 31, 2012"
"NORTH-EASTERN REGION1","C4781","C4052","C3892","C883","C5480","C99951","C0730","C7324","C30831","C164","C413","C71","C46415","D40","POP.214.47","(%)0.09","21,641,689"
"ZONE  10","180","183","349","568","1040","1732","1789","905","284","101","39","8","7178","10","199.10","0.14","3,605,147"
"BUNGKAN","8","9","38","115","185","314","163","72","23","2","0","2","931","2","227.00","0.21","410,124"
"LOEI","83","89","156","256","472","669","607","251","80","57","24","5","2749","7","438.19","0.25","627,354"
"NONG BUA LAM PHU","31","44","108","124","186","280","226","118","25","6","0","0","1148","0","227.86","0.00","503,811"
"NONG KHAI","21","16","12","25","105","193","401","210","67","17","6","0","1073","0","209.92","0.00","511,155"
"UDON THANI","37","25","35","48","92","276","392","254","89","19","9","1","1277","1","82.24","0.08","1,552,703"
"ZONE  11","84","77","221","406","872","1254","739","265","70","44","13","0","4045","5","186.02","0.12","2,174,547"
"MUKDAHAN","20","20","39","91","231","261","165","116","33","15","6","0","997","1","291.76","0.10","341,725"
"NAKHON PHANOM","37","35","91","238","527","764","458","128","31","26","5","0","2340","2","331.18","0.09","706,559"
"SAKON NAKHON","27","22","91","77","114","229","116","21","6","3","2","0","708","2","62.86","0.28","1,126,263"
"ZONE  12","326","275","424","428","957","1956","2936","2454","1075","368","112","6","11317","6","226.20","0.05","5,003,067"
"KALASIN","19","18","46","53","110","178","520","309","116","49","24","1","1443","2","146.74","0.14","983,370"
"KHON KAEN","107","63","96","103","213","364","802","790","351","98","29","1","3017","3","170.41","0.10","1,770,441"
"MAHA SARAKHAM","96","91","139","67","164","484","610","591","310","127","39","0","2718","1","288.40","0.04","942,442"
"ROI ET","104","103","143","205","470","930","1004","764","298","94","20","4","4139","0","316.72","0.00","1,306,814"
"ZONE  13","218","274","445","563","1287","2268","1997","1224","554","242","85","31","9188","6","219.33","0.07","4,189,204"
"AMNAT CHAROEN","8","14","9","45","109","139","129","60","28","11","0","1","553","2","148.31","0.36","372,868"
"SI SA KET","107","115","192","281","628","1175","1065","621","304","125","53","16","4682","1","321.72","0.02","1,455,287"
"UBON RATCHATHANI","78","117","225","204","438","743","622","409","146","74","27","13","3096","3","169.97","0.10","1,821,489"
"YASOTHON","25","28","19","33","112","211","181","134","76","32","5","1","857","0","158.83","0.00","539,560"
"ZONE  14","670","596","950","918","1324","2785","3269","2476","1100","409","164","26","14687","13","220.20","0.09","6,669,724"
"BURI RAM","111","120","183","154","206","457","423","405","293","96","52","13","2513","2","160.79","0.08","1,562,912"
"CHAIYAPHUM","42","48","103","106","137","258","200","111","81","35","18","2","1141","0","100.95","0.00","1,130,228"
"NAKHON RATCHASIMA","294","221","366","366","663","1364","1767","1295","378","165","56","11","6946","6","267.85","0.09","2,593,246"
"SURIN","223","207","298","292","318","706","879","665","348","113","38","0","4087","5","295.44","0.12","1,383,338"
"NORTHERN REGION","878","7551","1291","962","44211","03511","2041","7599","35711","334","687","198","44926","35","380.96","0.08","11,792,937"
"ZONE  15","209","157","266","827","1860","4630","4824","2811","1362","463","248","70","17727","12","579.96","0.07","3,056,581"
"CHIANG MAI","138","90","175","577","1294","3126","3152","1689","817","240","121","38","11457","8","693.99","0.07","1,650,893"
"LAMPANG","29","33","29","107","266","879","775","582","297","84","37","4","3122","2","412.32","0.06","757,173"
"LAMPHUN","37","23","48","97","114","208","381","212","88","38","4","1","1251","1","309.41","0.08","404,313"
"MAE HONG SON","5","11","14","46","186","417","516","328","160","101","86","27","1897","1","776.82","0.05","244,202"
"ZONE  16","175","80","151","323","1253","3197","4787","3725","1641","543","194","45","16114","11","614.53","0.07","2,622,155"
"CHIANG RAI","131","47","86","222","997","2578","3986","3212","1417","461","150","39","13326","9","1,110.93","0.07","1,199,539"
"NAN","16","22","18","36","59","178","292","157","63","21","16","1","879","0","184.22","0.00","477,142"
"PHAYAO","18","5","8","14","62","203","298","193","81","28","4","2","916","0","187.98","0.00","487,296"
"PHRAE","10","6","39","51","135","238","211","163","80","33","24","3","993","2","216.73","0.20","458,178"
"ZONE  17","187","232","315","461","1021","1847","1632","588","314","154","101","37","6889","8","200.44","0.12","3,436,870"
"PHETCHABUN","48","64","97","149","603","1151","802","143","22","20","8","1","3108","2","313.23","0.06","992,255"
"PHITSANULOK","69","68","56","96","119","205","246","173","112","51","39","14","1248","3","146.33","0.24","852,864"
"SUKHOTHAI","22","39","58","98","98","86","119","57","51","33","10","10","681","2","113.11","0.29","602,053"
"TAK","30","45","68","86","157","309","338","158","101","38","32","8","1370","1","259.21","0.07","528,531"
"UTTARADIT","18","16","36","32","44","96","127","57","28","12","12","4","482","0","104.52","0.00","461,167"
"ZONE 18","307","286","397","351","287","677","798","475","254","174","144","46","4196","4","156.72","0.10","2,677,331"
"KAMPHAENG PHET","36","61","72","89","91","239","235","105","62","39","30","13","1072","1","147.50","0.09","726,782"
"NAKHON SAWAN","182","151","210","154","108","285","341","220","134","91","68","26","1970","2","183.68","0.10","1,072,516"
"PHICHIT","49","48","63","57","63","100","149","97","29","26","27","6","714","0","129.93","0.00","549,541"
"UTHAI THANI","40","26","52","51","25","53","73","53","29","18","19","1","440","1","133.95","0.23","328,492"

