"REPORTING  AREAS","JAN","FEB","MAR","DENGUAPR","E HEMMAY","ORRHAJUN","20GIC FEJUL","14VER - TAUG","OTAL (SEP","DF+DHOCT","F+DSS)NOVD","EC","TOTALT","OTAL","CASERATE PER 100,000.00","CASEFATALITYRATE","POP.DEC 31, 2013"
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"NORTH-EASTERN REGION","79","177","233","173","527","950","1162","1192","808","609","423","180","6513","3","29.96","0.05","21,736,447"
"ZONE  7","23","66","67","34","97","145","267","308","242","156","77","39","1521","0","30.29","0.00","5,021,953"
"Khon Kaen","6","20","16","7","20","35","89","82","71","50","30","11","437","0","24.57","0.00","1,778,236"
"Maha Sarakham","11","28","20","5","17","35","55","55","59","42","22","15","364","0","38.30","0.00","950,397"
"Roi Et","2","8","14","8","22","45","79","111","59","24","18","8","398","0","30.41","0.00","1,308,763"
"Kalasin","4","10","17","14","38","30","44","60","53","40","7","5","322","0","32.71","0.00","984,557"
"ZONE 8","10","28","44","33","72","202","190","156","81","40","25","13","894","0","16.35","0.00","5,467,199"
"Buengkan","4","3","3","8","32","55","14","15","17","6","4","0","161","0","38.85","0.00","414,425"
"Nong Bua Lam Phu","0","5","9","4","4","6","17","18","11","4","1","3","82","0","16.20","0.00","506,104"
"Udon Thani","2","8","1","2","4","10","12","7","10","4","1","1","62","0","3.97","0.00","1,560,631"
"Loei","2","4","5","8","7","13","12","28","7","5","11","2","104","0","16.48","0.00","630,996"
"Nong Khai","1","8","11","4","12","81","83","42","6","3","2","2","255","0","49.64","0.00","513,690"
"Sakon Nakhon","0","0","0","2","3","9","11","21","15","11","4","2","78","0","6.89","0.00","1,131,748"
"Nakhon Phanom","1","0","15","5","10","28","41","25","15","7","2","3","152","0","21.42","0.00","709,605"
"ZONE 9","31","64","69","58","224","368","419","451","310","306","232","87","2619","3","39.10","0.11","6,697,369"
"Nakhon Ratchasima","20","23","21","14","62","110","129","139","99","115","96","47","875","2","33.58","0.23","2,605,665"
"Buri Ram","0","24","16","14","52","99","78","81","72","37","38","5","516","1","32.86","0.19","1,570,089"
"Surin","6","13","24","17","62","39","89","129","79","63","34","4","559","0","40.30","0.00","1,387,236"
"Chaiyaphum","5","4","8","13","48","120","123","102","60","91","64","31","669","0","58.97","0.00","1,134,379"
"ZONE 10","15","19","53","48","134","235","286","277","175","107","89","41","1479","0","32.51","0.00","4,549,926"
"Si Sa Ket","5","15","29","19","39","93","109","85","72","42","33","16","557","0","38.15","0.00","1,460,198"
"Ubon Ratchathani","7","2","15","18","67","91","77","110","53","29","27","13","509","0","27.79","0.00","1,831,722"
"Yasothon","1","0","3","6","4","27","53","43","27","8","15","4","191","0","35.35","0.00","540,325"
"Amnat Charoen","0","1","4","0","6","9","33","23","17","21","13","8","135","0","36.09","0.00","374,096"
"Mukdahan","2","1","2","5","18","15","14","16","6","7","1","0","87","0","25.32","0.00","343,585"
"Southern Region","644","386","392","407","705","1319","1860","1711","1488","1457","1046","551","11966","16","131.56","0.13","9,095,807"
"ZONE 11","287","177","229","193","410","739","1037","902","761","710","512","273","6230","12","144.45","0.19","4,313,028"
"Nakhon Si Thammarat","106","74","98","67","149","256","493","505","449","420","317","129","3063","6","199.11","0.20","1,538,365"
"Krabi","25","19","36","40","115","205","163","105","88","78","72","49","995","0","222.13","0.00","447,928"
"Phangnga","13","9","13","18","26","25","19","4","6","3","0","0","136","1","52.62","0.74","258,457"
"Phuket","84","28","15","18","37","68","122","134","94","63","25","26","714","1","195.50","0.14","365,214"
"Surat Thani","35","15","25","16","28","79","127","93","74","86","43","35","656","3","63.84","0.46","1,027,549"
"Ranong","4","3","13","11","30","37","13","8","10","7","7","5","148","1","82.81","0.68","178,712"
"Chumphon","20","29","29","23","25","69","100","53","40","53","48","29","518","0","104.27","0.00","496,803"
"ZONE 12","357","209","163","214","295","580","823","809","727","747","534","278","5736","4","119.93","0.07","4,782,779"
"Songkhla","87","37","34","58","99","145","232","190","177","134","108","123","1424","1","102.87","0.07","1,384,231"
"Satun","14","10","16","21","13","24","31","12","8","12","9","0","170","1","55.22","0.59","307,836"
"Trang","36","12","10","15","35","59","52","51","28","57","39","13","407","0","64.20","0.00","633,981"
"Phatthalung","55","56","38","30","27","86","51","76","61","100","91","58","729","1","141.21","0.14","516,257"
"Pattani","88","42","27","42","62","132","249","261","213","200","101","0","1417","1","209.86","0.07","675,227"
"Yala","15","14","21","21","38","84","82","66","67","62","48","21","539","0","107.06","0.00","503,476"
"Narathiwat","62","38","17","27","21","50","126","153","173","182","138","63","1050","0","137.84","0.00","761,771"

