"REPORTING  AREAS","JAN","FEB","MAR","DENGAPR","UE HEMAY","MORRHJUN","2AGIC FJUL","016EVER - TAUG","OTAL (DSEP","F+DHFOCT","+DSS)NOV","DEC","TOTALT","OTAL","CASERATE PER 100,000.00","CASEFATALITYRATE","POP.DEC. 31, 2015"
"Total","C7069","C4060","C3711","C2150","C1981","C3742","C7496","C10270","C8005","C6344","C5238","C3244","C63310","D61","POP.96.76","(%)0.10","65,426,907"
"Northern Region","670","428","543","405","576","1046","2547","3226","1879","853","525","198","12896","13","107.83","0.10","11,959,533"
"ZONE 1","207","119","154","201","369","641","1971","2660","1451","611","376","137","8897","8","153.89","0.09","5,781,324"
"Chiang Mai","79","28","43","61","109","277","1074","1624","868","303","216","70","4752","5","278.99","0.11","1,703,263"
"Lamphun","35","12","17","20","20","38","95","149","88","34","13","10","531","1","130.81","0.19","405,927"
"Lampang","23","23","28","19","26","32","162","248","104","59","16","6","746","0","99.11","0.00","752,685"
"Phrae","12","9","13","3","6","7","16","16","10","13","9","3","117","0","25.82","0.00","453,213"
"Nan","1","5","7","4","23","51","36","29","6","16","17","15","210","0","43.85","0.00","478,890"
"Phayao","8","6","2","25","46","18","22","35","32","5","2","1","202","0","41.77","0.00","483,550"
"Chiang Rai","33","19","19","31","49","123","327","309","166","61","41","19","1197","1","96.31","0.08","1,242,825"
"Mae Hong Son","16","17","25","38","90","95","239","250","177","120","62","13","1142","1","437.60","0.09","260,971"
"ZONE 2","217","146","207","120","186","369","494","401","291","149","97","32","2709","4","77.43","0.15","3,498,728"
"Uttaradit","13","7","27","15","17","14","41","48","36","9","6","1","234","1","50.86","0.43","460,084"
"Tak","52","32","45","39","38","62","130","112","60","59","51","16","696","1","120.21","0.14","578,968"
"Sukhothai","43","18","42","11","2","4","20","68","70","24","8","2","312","1","51.82","0.32","602,085"
"Phitsanulok","92","55","47","22","8","49","92","65","71","32","26","12","571","1","66.30","0.18","861,194"
"Phetchabun","17","34","46","33","121","240","211","108","54","25","6","1","896","0","89.92","0.00","996,397"
"ZONE 3","272","175","196","91","25","39","92","184","164","100","56","32","1426","1","47.35","0.07","3,011,449"
"Chai Nat","26","12","14","7","4","3","10","19","27","7","4","3","136","0","40.97","0.00","331,968"
"Nakhon Sawan","126","76","74","24","9","16","53","96","74","34","26","10","618","0","57.63","0.00","1,072,349"
"Uthai Thani","40","20","23","11","3","8","11","12","16","15","8","3","170","0","51.43","0.00","330,543"
"Kamphaeng Phet","38","11","21","28","7","7","8","15","18","16","5","2","176","0","24.11","0.00","729,839"
"Phichit","42","56","64","21","2","5","10","42","29","28","13","14","326","1","59.63","0.31","546,750"
"Central Region*","3902","1934","1450","731","467","544","1175","1824","1729","1532","1362","830","17480","11","78.26","0.06","22,337,125"
"Bangkok","1914","823","535","251","124","123","360","607","623","725","781","502","7368","0","129.39","0.00","5,694,347"
"ZONE 4","474","272","212","104","55","75","161","318","333","208","132","100","2444","1","46.81","0.04","5,221,125"
"Nonthaburi","154","45","32","21","19","20","43","65","55","62","48","37","601","0","50.77","0.00","1,183,791"
"Pathum Thani","87","35","27","17","8","15","33","63","54","21","27","17","404","0","37.26","0.00","1,084,154"
"P.Nakhon S.Ayutthaya","77","60","46","37","12","20","35","71","82","43","25","21","529","0","65.63","0.00","805,980"
"Ang Thong","13","6","15","7","1","3","9","24","41","19","3","2","143","0","50.46","0.00","283,371"
