"","","","","","","","2","017","","","","","","","CASE","CASE","POP."
"REPORTING  AREAS","JAN","FEBM","AR","DAPR","ENGUE MAY","HEMORRJUN","HAGIC FJUL","EVER - TAUG","OTAL (DSEP","F+DHF+OCT","DSS)NOV","DEC","TOTALT","OTAL","RATE PER 100,000.00","FATALITYRATE","DEC. 31, 2015"
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"NORTH-EASTERN REGION","254","187","256","379","967","2071","1940","975","0","0","0","0","7029","2","32.12","0.03","21,880,646"
"ZONE  7","66","43","39","73","157","519","458","209","0","0","0","0","1564","0","30.97","0.00","5,049,920"
"Khon Kaen","12","4","7","13","36","94","92","42","0","0","0","0","300","0","16.72","0.00","1,794,032"
"Maha Sarakham","13","22","14","26","36","79","83","59","0","0","0","0","332","0","34.49","0.00","962,592"
"Roi Et","16","9","10","24","47","185","141","57","0","0","0","0","489","0","37.38","0.00","1,308,241"
"Kalasin","25","8","8","10","38","161","142","51","0","0","0","0","443","0","44.97","0.00","985,055"
"ZONE 8","52","34","54","102","286","428","324","186","0","0","0","0","1466","0","26.60","0.00","5,511,930"
"Bungkan","26","16","16","33","92","168","63","23","0","0","0","0","437","0","104.15","0.00","419,607"
"Nong Bua Lam Phu","1","1","2","8","19","16","37","20","0","0","0","0","104","0","20.41","0.00","509,469"
"Udon Thani","5","2","5","12","19","48","62","32","0","0","0","0","185","0","11.76","0.00","1,572,726"
"Loei","7","8","9","13","51","73","72","40","0","0","0","0","273","0","42.88","0.00","636,666"
"Nong Khai","4","3","4","6","16","32","34","16","0","0","0","0","115","0","22.18","0.00","518,420"
"Sakon Nakhon","5","3","14","18","67","69","41","43","0","0","0","0","260","0","22.79","0.00","1,140,673"
"Nakhon Phanom","4","1","4","12","22","22","15","12","0","0","0","0","92","0","12.88","0.00","714,369"
"ZONE 9","95","57","98","135","348","716","712","388","0","0","0","0","2549","1","37.83","0.04","6,737,604"
"Nakhon Ratchasima","38","25","43","45","164","336","384","206","0","0","0","0","1241","1","47.28","0.08","2,624,668"
"Buri Ram","9","10","5","19","49","92","108","73","0","0","0","0","365","0","23.07","0.00","1,581,955"
"Surin","34","19","42","66","123","213","164","68","0","0","0","0","729","0","52.32","0.00","1,393,330"
"Chaiyaphum","14","3","8","5","12","75","56","41","0","0","0","0","214","0","18.81","0.00","1,137,651"
"ZONE 10","41","53","65","69","176","408","446","192","0","0","0","0","1450","1","31.65","0.07","4,581,192"
"Si Sa Ket","22","11","20","7","43","147","146","98","0","0","0","0","494","0","33.67","0.00","1,467,006"
"Ubon Ratchathani","12","20","25","23","75","152","198","68","0","0","0","0","573","1","30.96","0.17","1,851,049"
"Yasothon","0","5","7","29","29","37","33","10","0","0","0","0","150","0","27.77","0.00","540,197"
"Amnat Charoen","3","5","2","2","12","36","38","3","0","0","0","0","101","0","26.87","0.00","375,881"
"Mukdahan","4","12","11","8","17","36","31","13","0","0","0","0","132","0","38.03","0.00","347,059"
"Southern Region","22231","5691","141","885","1148","1282","947","439","0","0","0","0","9634","24","104.16","0.25","9,249,603"
"ZONE 11","404","445","423","433","604","721","531","276","0","0","0","0","3837","8","87.52","0.21","4,383,957"
"Nakhon Si Thammarat","233","271","216","209","277","287","247","137","0","0","0","0","1877","0","121.08","0.00","1,550,278"
"Krabi","15","27","42","36","56","60","66","31","0","0","0","0","333","1","72.48","0.30","459,456"
"Phangnga","14","9","8","20","27","45","52","19","0","0","0","0","194","1","73.84","0.52","262,721"
"Phuket","35","34","36","38","85","144","78","21","0","0","0","0","471","2","123.14","0.42","382,485"
"Surat Thani","82","78","79","83","84","125","65","49","0","0","0","0","645","2","61.81","0.31","1,043,501"
"Ranong","10","11","18","23","29","27","13","11","0","0","0","0","142","0","77.89","0.00","182,313"
"Chumphon","15","15","24","24","46","33","10","8","0","0","0","0","175","2","34.78","1.14","503,203"
"ZONE 12","18191","124","718","452","544","561","416","163","0","0","0","0","5797","16","119.14","0.28","4,865,646"
"Songkhla","887","518","341","202","245","252","168","56","0","0","0","0","2669","5","189.84","0.19","1,405,939"
"Satun","8","7","10","6","7","5","0","0","0","0","0","0","43","2","13.68","4.65","314,297"
"Trang","28","21","18","21","30","54","44","21","0","0","0","0","237","2","37.04","0.84","639,770"
"Phatthalung","194","151","119","101","111","97","92","36","0","0","0","0","901","0","172.75","0.00","521,570"
"Pattani","351","193","84","46","39","49","40","15","0","0","0","0","817","1","118.39","0.12","690,104"
"Yala","82","32","22","19","23","21","14","4","0","0","0","0","217","3","42.13","1.38","515,025"
"Narathiwat","269","202","124","57","89","83","58","31","0","0","0","0","913","3","117.21","0.33","778,941"

