"Year","Province","Month","Cases","Population","Total.Cases","Incidence.Per.100000","Total.Deaths","Fatality.Rate"
"2007","Amnat Charoen","January","4",368934,"237","64.24","0","0.00"
"2007","Ang Thong","January","9",283943,"369","129.96","1","0.27"
"2007","Ayutthaya","January","14",754595,"735","97.40","5","0.68"
"2007","Bangkok","January","599",5695956,"6944","121.91","10","0.14"
"2007","Buriram","January","14",1536722,"1685","109.65","2","0.12"
"2007","Chachoengsao","January","24",654206,"782","119.53","5","0.64"
"2007","Chai Nat","January","2",339006,"233","68.73","0","0.00"
"2007","Chaiyaphum","January","13",1119146,"741","66.21","1","0.13"
"2007","Chanthaburi","January","13",502389,"1033","205.62","0","0.00"
"2007","Chiang Mai","January","1",1658298,"656","39.56","0","0.00"
"2007","Chiang Rai","January","0",1225713,"819","66.82","2","0.24"
"2007","Chonburi","January","4",1209290,"184","15.22","2","1.09"
"2007","Chumphon","January","30",478964,"1090","227.57","0","0.00"
"2007","Kalasin","January","38",975562,"1422","145.76","1","0.07"
"2007","Kamphaeng Phet","January","15",728320,"670","91.99","1","0.15"
"2007","Kanchanaburi","January","12",834447,"868","104.02","3","0.35"
"2007","Khon Kaen","January","37",1750500,"944","53.93","0","0.00"
"2007","Krabi","January","10",403363,"663","164.37","0","0.00"
"2007","Lampang","January","1",773790,"237","30.63","1","0.42"
"2007","Lamphun","January","0",405564,"392","96.66","0","0.00"
"2007","Loei","January","8",613303,"293","47.77","0","0.00"
"2007","Lopburi","January","9",752775,"523","69.48","0","0.00"
"2007","Mae Hong Son","January","0",255174,"197","77.20","0","0.00"
"2007","Maha Sarakham","January","1",937686,"791","84.36","0","0.00"
"2007","Mukdahan","January","6",335447,"318","94.80","0","0.00"
"2007","Nakhon Nayok","January","6",250003,"395","158.00","0","0.00"
"2007","Nakhon Pathom","January","53",821905,"1235","150.26","1","0.08"
"2007","Nakhon Phanom","January","3",695351,"398","57.24","0","0.00"
"2007","Nakhon Ratchasima","January","31",2555587,"1346","52.67","1","0.07"
"2007","Nakhon Sawan","January","18",1076015,"1453","135.04","1","0.07"
"2007","Nakhon Si Thammarat","January","71",1510460,"1088","72.03","3","0.28"
"2007","Nan","January","0",477662,"81","16.96","0","0.00"
"2007","Narathiwat","January","38",707171,"1261","178.32","3","0.24"
"2007","Nong Bua Lam Phu","January","3",496692,"111","22.35","1","0.90"
"2007","Nong Khai","January","7",899580,"435","48.36","3","0.69"
"2007","Nonthaburi","January","55",999057,"2179","218.11","1","0.05"
"2007","Pathum Thani","January","23",861338,"560","65.02","0","0.00"
"2007","Pattani","January","95",635730,"1084","170.51","1","0.09"
"2007","Phang Nga","January","12",245394,"253","103.10","0","0.00"
"2007","Phatthalung","January","12",503321,"575","114.24","0","0.00"
"2007","Phayao","January","0",486219,"50","10.28","0","0.00"
"2007","Phetchabun","January","10",1002317,"796","79.42","2","0.25"
"2007","Phetchaburi","January","4",456681,"383","83.87","0","0.00"
"2007","Phichit","January","7",557832,"641","114.91","0","0.00"
"2007","Phitsanulok","January","9",844508,"622","73.65","1","0.16"
"2007","Phrae","January","2",468373,"311","66.40","0","0.00"
"2007","Phuket","January","5",300737,"474","157.61","5","1.05"
"2007","Prachinburi","January","5",453819,"738","162.62","0","0.00"
"2007","Prachuap Khiri Khan","January","6",494416,"692","139.96","3","0.43"
"2007","Ranong","January","10",179850,"98","54.49","1","1.02"
"2007","Ratchaburi","January","27",828930,"1155","139.34","1","0.09"
"2007","Rayong","January","18",573785,"1278","222.73","3","0.23"
"2007","Roi Et","January","25",1310047,"2061","157.32","1","0.05"
"2007","Sa Kaeo","January","20",538344,"479","88.98","0","0.00"
"2007","Sakon Nakhon","January","7",1109046,"669","60.32","0","0.00"
"2007","Samut Prakan","January","119",1107626,"2591","233.92","2","0.08"
"2007","Samut Sakhon","January","100",462510,"783","169.29","2","0.26"
"2007","Samut Songkhram","January","9",194990,"382","195.91","0","0.00"
"2007","Saraburi","January","3",609855,"415","68.05","1","0.24"
"2007","Satun","January","3",281545,"173","61.45","1","0.58"
"2007","Sing Buri","January","2",216969,"52","23.97","0","0.00"
"2007","Sisaket","January","11",1446484,"1618","111.86","3","0.19"
"2007","Songkhla","January","161",1317501,"2305","174.95","5","0.22"
"2007","Sukhothai","January","4",608820,"200","32.85","0","0.00"
"2007","Suphan Buri","January","37",843904,"664","78.68","0","0.00"
"2007","Surat Thani","January","55",960698,"1164","121.16","3","0.26"
"2007","Surin","January","61",1375257,"2620","190.51","4","0.15"
"2007","Tak","January","5",527677,"529","100.25","1","0.19"
"2007","Trang","January","5",607450,"256","42.14","0","0.00"
"2007","Trat","January","13",219949,"199","90.48","1","0.50"
"2007","Ubon Ratchathani","January","16",1783035,"1011","56.70","0","0.00"
"2007","Udon Thani","January","12",1527562,"631","41.31","1","0.16"
"2007","Uthai Thani","January","7",326988,"273","83.49","0","0.00"
"2007","Uttaradit","January","12",467482,"367","78.51","0","0.00"
"2007","Yala","January","55",468252,"761","162.52","0","0.00"
"2007","Yasothon","January","5",540889,"278","51.40","0","0.00"
"2007","Amnat Charoen","February","0",368934,"237","64.24","0","0.00"
"2007","Ang Thong","February","1",283943,"369","129.96","1","0.27"
"2007","Ayutthaya","February","18",754595,"735","97.40","5","0.68"
"2007","Bangkok","February","282",5695956,"6944","121.91","10","0.14"
"2007","Buriram","February","6",1536722,"1685","109.65","2","0.12"
"2007","Chachoengsao","February","10",654206,"782","119.53","5","0.64"
"2007","Chai Nat","February","1",339006,"233","68.73","0","0.00"
"2007","Chaiyaphum","February","21",1119146,"741","66.21","1","0.13"
"2007","Chanthaburi","February","13",502389,"1033","205.62","0","0.00"
"2007","Chiang Mai","February","3",1658298,"656","39.56","0","0.00"
"2007","Chiang Rai","February","0",1225713,"819","66.82","2","0.24"
"2007","Chonburi","February","0",1209290,"184","15.22","2","1.09"
"2007","Chumphon","February","12",478964,"1090","227.57","0","0.00"
"2007","Kalasin","February","21",975562,"1422","145.76","1","0.07"
"2007","Kamphaeng Phet","February","18",728320,"670","91.99","1","0.15"
"2007","Kanchanaburi","February","18",834447,"868","104.02","3","0.35"
"2007","Khon Kaen","February","16",1750500,"944","53.93","0","0.00"
"2007","Krabi","February","13",403363,"663","164.37","0","0.00"
"2007","Lampang","February","4",773790,"237","30.63","1","0.42"
"2007","Lamphun","February","1",405564,"392","96.66","0","0.00"
"2007","Loei","February","0",613303,"293","47.77","0","0.00"
"2007","Lopburi","February","11",752775,"523","69.48","0","0.00"
"2007","Mae Hong Son","February","0",255174,"197","77.20","0","0.00"
"2007","Maha Sarakham","February","5",937686,"791","84.36","0","0.00"
"2007","Mukdahan","February","4",335447,"318","94.80","0","0.00"
"2007","Nakhon Nayok","February","5",250003,"395","158.00","0","0.00"
"2007","Nakhon Pathom","February","29",821905,"1235","150.26","1","0.08"
"2007","Nakhon Phanom","February","2",695351,"398","57.24","0","0.00"
"2007","Nakhon Ratchasima","February","23",2555587,"1346","52.67","1","0.07"
"2007","Nakhon Sawan","February","26",1076015,"1453","135.04","1","0.07"
"2007","Nakhon Si Thammarat","February","55",1510460,"1088","72.03","3","0.28"
"2007","Nan","February","2",477662,"81","16.96","0","0.00"
"2007","Narathiwat","February","29",707171,"1261","178.32","3","0.24"
"2007","Nong Bua Lam Phu","February","0",496692,"111","22.35","1","0.90"
"2007","Nong Khai","February","3",899580,"435","48.36","3","0.69"
"2007","Nonthaburi","February","54",999057,"2179","218.11","1","0.05"
"2007","Pathum Thani","February","17",861338,"560","65.02","0","0.00"
"2007","Pattani","February","69",635730,"1084","170.51","1","0.09"
"2007","Phang Nga","February","11",245394,"253","103.10","0","0.00"
"2007","Phatthalung","February","14",503321,"575","114.24","0","0.00"
"2007","Phayao","February","0",486219,"50","10.28","0","0.00"
"2007","Phetchabun","February","2",1002317,"796","79.42","2","0.25"
"2007","Phetchaburi","February","6",456681,"383","83.87","0","0.00"
"2007","Phichit","February","6",557832,"641","114.91","0","0.00"
"2007","Phitsanulok","February","4",844508,"622","73.65","1","0.16"
"2007","Phrae","February","0",468373,"311","66.40","0","0.00"
"2007","Phuket","February","10",300737,"474","157.61","5","1.05"
"2007","Prachinburi","February","8",453819,"738","162.62","0","0.00"
"2007","Prachuap Khiri Khan","February","2",494416,"692","139.96","3","0.43"
"2007","Ranong","February","3",179850,"98","54.49","1","1.02"
"2007","Ratchaburi","February","13",828930,"1155","139.34","1","0.09"
"2007","Rayong","February","18",573785,"1278","222.73","3","0.23"
"2007","Roi Et","February","41",1310047,"2061","157.32","1","0.05"
"2007","Sa Kaeo","February","13",538344,"479","88.98","0","0.00"
"2007","Sakon Nakhon","February","5",1109046,"669","60.32","0","0.00"
"2007","Samut Prakan","February","54",1107626,"2591","233.92","2","0.08"
"2007","Samut Sakhon","February","57",462510,"783","169.29","2","0.26"
"2007","Samut Songkhram","February","6",194990,"382","195.91","0","0.00"
"2007","Saraburi","February","18",609855,"415","68.05","1","0.24"
"2007","Satun","February","0",281545,"173","61.45","1","0.58"
"2007","Sing Buri","February","4",216969,"52","23.97","0","0.00"
"2007","Sisaket","February","19",1446484,"1618","111.86","3","0.19"
"2007","Songkhla","February","107",1317501,"2305","174.95","5","0.22"
"2007","Sukhothai","February","1",608820,"200","32.85","0","0.00"
"2007","Suphan Buri","February","9",843904,"664","78.68","0","0.00"
"2007","Surat Thani","February","54",960698,"1164","121.16","3","0.26"
"2007","Surin","February","70",1375257,"2620","190.51","4","0.15"
"2007","Tak","February","12",527677,"529","100.25","1","0.19"
"2007","Trang","February","4",607450,"256","42.14","0","0.00"
"2007","Trat","February","13",219949,"199","90.48","1","0.50"
"2007","Ubon Ratchathani","February","19",1783035,"1011","56.70","0","0.00"
"2007","Udon Thani","February","9",1527562,"631","41.31","1","0.16"
"2007","Uthai Thani","February","6",326988,"273","83.49","0","0.00"
"2007","Uttaradit","February","3",467482,"367","78.51","0","0.00"
"2007","Yala","February","50",468252,"761","162.52","0","0.00"
"2007","Yasothon","February","0",540889,"278","51.40","0","0.00"
"2007","Amnat Charoen","March","5",368934,"237","64.24","0","0.00"
"2007","Ang Thong","March","2",283943,"369","129.96","1","0.27"
"2007","Ayutthaya","March","12",754595,"735","97.40","5","0.68"
"2007","Bangkok","March","323",5695956,"6944","121.91","10","0.14"
"2007","Buriram","March","27",1536722,"1685","109.65","2","0.12"
"2007","Chachoengsao","March","12",654206,"782","119.53","5","0.64"
"2007","Chai Nat","March","13",339006,"233","68.73","0","0.00"
"2007","Chaiyaphum","March","24",1119146,"741","66.21","1","0.13"
"2007","Chanthaburi","March","24",502389,"1033","205.62","0","0.00"
"2007","Chiang Mai","March","3",1658298,"656","39.56","0","0.00"
"2007","Chiang Rai","March","0",1225713,"819","66.82","2","0.24"
"2007","Chonburi","March","7",1209290,"184","15.22","2","1.09"
"2007","Chumphon","March","29",478964,"1090","227.57","0","0.00"
"2007","Kalasin","March","57",975562,"1422","145.76","1","0.07"
"2007","Kamphaeng Phet","March","29",728320,"670","91.99","1","0.15"
"2007","Kanchanaburi","March","16",834447,"868","104.02","3","0.35"
"2007","Khon Kaen","March","38",1750500,"944","53.93","0","0.00"
"2007","Krabi","March","16",403363,"663","164.37","0","0.00"
"2007","Lampang","March","4",773790,"237","30.63","1","0.42"
"2007","Lamphun","March","1",405564,"392","96.66","0","0.00"
"2007","Loei","March","3",613303,"293","47.77","0","0.00"
"2007","Lopburi","March","13",752775,"523","69.48","0","0.00"
"2007","Mae Hong Son","March","0",255174,"197","77.20","0","0.00"
"2007","Maha Sarakham","March","12",937686,"791","84.36","0","0.00"
"2007","Mukdahan","March","8",335447,"318","94.80","0","0.00"
"2007","Nakhon Nayok","March","8",250003,"395","158.00","0","0.00"
"2007","Nakhon Pathom","March","35",821905,"1235","150.26","1","0.08"
"2007","Nakhon Phanom","March","12",695351,"398","57.24","0","0.00"
"2007","Nakhon Ratchasima","March","24",2555587,"1346","52.67","1","0.07"
"2007","Nakhon Sawan","March","41",1076015,"1453","135.04","1","0.07"
"2007","Nakhon Si Thammarat","March","54",1510460,"1088","72.03","3","0.28"
"2007","Nan","March","1",477662,"81","16.96","0","0.00"
"2007","Narathiwat","March","32",707171,"1261","178.32","3","0.24"
"2007","Nong Bua Lam Phu","March","6",496692,"111","22.35","1","0.90"
"2007","Nong Khai","March","6",899580,"435","48.36","3","0.69"
"2007","Nonthaburi","March","90",999057,"2179","218.11","1","0.05"
"2007","Pathum Thani","March","12",861338,"560","65.02","0","0.00"
"2007","Pattani","March","80",635730,"1084","170.51","1","0.09"
"2007","Phang Nga","March","13",245394,"253","103.10","0","0.00"
"2007","Phatthalung","March","21",503321,"575","114.24","0","0.00"
"2007","Phayao","March","0",486219,"50","10.28","0","0.00"
"2007","Phetchabun","March","16",1002317,"796","79.42","2","0.25"
"2007","Phetchaburi","March","7",456681,"383","83.87","0","0.00"
"2007","Phichit","March","26",557832,"641","114.91","0","0.00"
"2007","Phitsanulok","March","6",844508,"622","73.65","1","0.16"
"2007","Phrae","March","8",468373,"311","66.40","0","0.00"
"2007","Phuket","March","16",300737,"474","157.61","5","1.05"
"2007","Prachinburi","March","18",453819,"738","162.62","0","0.00"
"2007","Prachuap Khiri Khan","March","12",494416,"692","139.96","3","0.43"
"2007","Ranong","March","10",179850,"98","54.49","1","1.02"
"2007","Ratchaburi","March","20",828930,"1155","139.34","1","0.09"
"2007","Rayong","March","10",573785,"1278","222.73","3","0.23"
"2007","Roi Et","March","99",1310047,"2061","157.32","1","0.05"
"2007","Sa Kaeo","March","56",538344,"479","88.98","0","0.00"
"2007","Sakon Nakhon","March","26",1109046,"669","60.32","0","0.00"
"2007","Samut Prakan","March","96",1107626,"2591","233.92","2","0.08"
"2007","Samut Sakhon","March","47",462510,"783","169.29","2","0.26"
"2007","Samut Songkhram","March","12",194990,"382","195.91","0","0.00"
"2007","Saraburi","March","16",609855,"415","68.05","1","0.24"
"2007","Satun","March","1",281545,"173","61.45","1","0.58"
"2007","Sing Buri","March","3",216969,"52","23.97","0","0.00"
"2007","Sisaket","March","58",1446484,"1618","111.86","3","0.19"
"2007","Songkhla","March","110",1317501,"2305","174.95","5","0.22"
"2007","Sukhothai","March","11",608820,"200","32.85","0","0.00"
"2007","Suphan Buri","March","26",843904,"664","78.68","0","0.00"
"2007","Surat Thani","March","48",960698,"1164","121.16","3","0.26"
"2007","Surin","March","132",1375257,"2620","190.51","4","0.15"
"2007","Tak","March","12",527677,"529","100.25","1","0.19"
"2007","Trang","March","2",607450,"256","42.14","0","0.00"
"2007","Trat","March","28",219949,"199","90.48","1","0.50"
"2007","Ubon Ratchathani","March","68",1783035,"1011","56.70","0","0.00"
"2007","Udon Thani","March","13",1527562,"631","41.31","1","0.16"
"2007","Uthai Thani","March","8",326988,"273","83.49","0","0.00"
"2007","Uttaradit","March","11",467482,"367","78.51","0","0.00"
"2007","Yala","March","35",468252,"761","162.52","0","0.00"
"2007","Yasothon","March","16",540889,"278","51.40","0","0.00"
"2007","Amnat Charoen","April","15",368934,"237","64.24","0","0.00"
"2007","Ang Thong","April","6",283943,"369","129.96","1","0.27"
"2007","Ayutthaya","April","17",754595,"735","97.40","5","0.68"
"2007","Bangkok","April","273",5695956,"6944","121.91","10","0.14"
"2007","Buriram","April","120",1536722,"1685","109.65","2","0.12"
"2007","Chachoengsao","April","20",654206,"782","119.53","5","0.64"
"2007","Chai Nat","April","11",339006,"233","68.73","0","0.00"
"2007","Chaiyaphum","April","17",1119146,"741","66.21","1","0.13"
"2007","Chanthaburi","April","70",502389,"1033","205.62","0","0.00"
"2007","Chiang Mai","April","12",1658298,"656","39.56","0","0.00"
"2007","Chiang Rai","April","3",1225713,"819","66.82","2","0.24"
"2007","Chonburi","April","8",1209290,"184","15.22","2","1.09"
"2007","Chumphon","April","75",478964,"1090","227.57","0","0.00"
"2007","Kalasin","April","67",975562,"1422","145.76","1","0.07"
"2007","Kamphaeng Phet","April","41",728320,"670","91.99","1","0.15"
"2007","Kanchanaburi","April","21",834447,"868","104.02","3","0.35"
"2007","Khon Kaen","April","47",1750500,"944","53.93","0","0.00"
"2007","Krabi","April","36",403363,"663","164.37","0","0.00"
"2007","Lampang","April","15",773790,"237","30.63","1","0.42"
"2007","Lamphun","April","4",405564,"392","96.66","0","0.00"
"2007","Loei","April","6",613303,"293","47.77","0","0.00"
"2007","Lopburi","April","12",752775,"523","69.48","0","0.00"
"2007","Mae Hong Son","April","0",255174,"197","77.20","0","0.00"
"2007","Maha Sarakham","April","37",937686,"791","84.36","0","0.00"
"2007","Mukdahan","April","23",335447,"318","94.80","0","0.00"
"2007","Nakhon Nayok","April","12",250003,"395","158.00","0","0.00"
"2007","Nakhon Pathom","April","23",821905,"1235","150.26","1","0.08"
"2007","Nakhon Phanom","April","35",695351,"398","57.24","0","0.00"
"2007","Nakhon Ratchasima","April","40",2555587,"1346","52.67","1","0.07"
"2007","Nakhon Sawan","April","32",1076015,"1453","135.04","1","0.07"
"2007","Nakhon Si Thammarat","April","84",1510460,"1088","72.03","3","0.28"
"2007","Nan","April","6",477662,"81","16.96","0","0.00"
"2007","Narathiwat","April","27",707171,"1261","178.32","3","0.24"
"2007","Nong Bua Lam Phu","April","0",496692,"111","22.35","1","0.90"
"2007","Nong Khai","April","8",899580,"435","48.36","3","0.69"
"2007","Nonthaburi","April","74",999057,"2179","218.11","1","0.05"
"2007","Pathum Thani","April","17",861338,"560","65.02","0","0.00"
"2007","Pattani","April","85",635730,"1084","170.51","1","0.09"
"2007","Phang Nga","April","20",245394,"253","103.10","0","0.00"
