"year","including.up.to.week.start","including.up.to.week.end","month","province","cases","total.cases","total.deaths","rate.per.100000","fatality.rate","population"
"2007",2007-12-23,2007-12-29,"January","Songkhla","161","2305","5","174.95","0.22",1317501
"2007",2007-12-23,2007-12-29,"January","Satun","3","173","1","61.45","0.58",281545
"2007",2007-12-23,2007-12-29,"January","Yala","55","761","0","162.52","0.00",468252
"2007",2007-12-23,2007-12-29,"January","Pattani","95","1084","1","170.51","0.09",635730
"2007",2007-12-23,2007-12-29,"January","Narathiwat","38","1261","3","178.32","0.24",707171
"2007",2007-12-23,2007-12-29,"January","Loei","8","293","0","47.77","0.00",613303
"2007",2007-12-23,2007-12-29,"January","Phuket","5","474","5","157.61","1.05",300737
"2007",2007-12-23,2007-12-29,"January","Phang Nga","12","253","0","103.10","0.00",245394
"2007",2007-12-23,2007-12-29,"January","Krabi","10","663","0","164.37","0.00",403363
"2007",2007-12-23,2007-12-29,"January","Trang","5","256","0","42.14","0.00",607450
"2007",2007-12-23,2007-12-29,"January","Phatthalung","12","575","0","114.24","0.00",503321
"2007",2007-12-23,2007-12-29,"January","Nakhon Si Thammarat","71","1088","3","72.03","0.28",1510460
"2007",2007-12-23,2007-12-29,"January","Surat Thani","55","1164","3","121.16","0.26",960698
"2007",2007-12-23,2007-12-29,"January","Ranong","10","98","1","54.49","1.02",179850
"2007",2007-12-23,2007-12-29,"January","Chumphon","30","1090","0","227.57","0.00",478964
"2007",2007-12-23,2007-12-29,"January","Suphan Buri","37","664","0","78.68","0.00",843904
"2007",2007-12-23,2007-12-29,"January","Yasothon","5","278","0","51.40","0.00",540889
"2007",2007-12-23,2007-12-29,"January","Ubon Ratchathani","16","1011","0","56.70","0.00",1783035
"2007",2007-12-23,2007-12-29,"January","Sisaket","11","1618","3","111.86","0.19",1446484
"2007",2007-12-23,2007-12-29,"January","Amnat Charoen","4","237","0","64.24","0.00",368934
"2007",2007-12-23,2007-12-29,"January","Surin","61","2620","4","190.51","0.15",1375257
