"location","target","score","forecast_week","team","skill"
"HHS Region 1","1 wk ahead",-0.0168358988371136,1,"PSI",0.983305032895199
"HHS Region 1","2 wk ahead",-0.0772620726506344,1,"PSI",0.925647234991606
"HHS Region 1","3 wk ahead",-0.0826529669870703,1,"PSI",0.920670594877933
"HHS Region 1","4 wk ahead",-0.115640267360754,1,"PSI",0.89079561392376
"HHS Region 1","Season onset",-0.0512932943875506,1,"PSI",0.95
"HHS Region 1","Season peak percentage",-2.19016657622526,1,"PSI",0.111898107500427
"HHS Region 1","Season peak week",-0.121785454754239,1,"PSI",0.88533829324988
"HHS Region 10","1 wk ahead",-4.16186089430801,1,"PSI",0.0155785409114543
"HHS Region 10","2 wk ahead",-1.82595411086779,1,"PSI",0.161063897980532
"HHS Region 10","3 wk ahead",-3.10575283223254,1,"PSI",0.044790785915991
"HHS Region 10","4 wk ahead",-2.0337326260936,1,"PSI",0.130846208533867
"HHS Region 10","Season onset",0,1,"PSI",1
"HHS Region 10","Season peak percentage",-0.536732459388019,1,"PSI",0.584655520295916
"HHS Region 10","Season peak week",-1.6094379124341,1,"PSI",0.2
"HHS Region 2","1 wk ahead",-0.349281268796753,1,"PSI",0.705194753092928
"HHS Region 2","2 wk ahead",-0.3501295435867,1,"PSI",0.704596807808687
"HHS Region 2","3 wk ahead",-0.39577938739854,1,"PSI",0.673155186074173
"HHS Region 2","4 wk ahead",-0.416206644916467,1,"PSI",0.659543964993903
"HHS Region 2","Season onset",0,1,"PSI",1
"HHS Region 2","Season peak percentage",-0.424830713730491,1,"PSI",0.653880468746234
"HHS Region 2","Season peak week",-0.239010387097181,1,"PSI",0.787406703460261
"HHS Region 3","1 wk ahead",-0.178330878343416,1,"PSI",0.836665543175526
"HHS Region 3","2 wk ahead",-0.195787513046136,1,"PSI",0.822186920112503
"HHS Region 3","3 wk ahead",-0.197230401465084,1,"PSI",0.82100145158234
"HHS Region 3","4 wk ahead",-0.198844761597479,1,"PSI",0.819677128824815
"HHS Region 3","Season onset",0,1,"PSI",1
"HHS Region 3","Season peak percentage",-2.96904790965716,1,"PSI",0.0513521789782334
"HHS Region 3","Season peak week",-0.698462739167034,1,"PSI",0.497349271987899
"HHS Region 4","1 wk ahead",-0.690585737447982,1,"PSI",0.50128236320505
"HHS Region 4","2 wk ahead",-4.63772563899587,1,"PSI",0.00967968771563188
"HHS Region 4","3 wk ahead",-2.33329704265085,1,"PSI",0.0969754871071578
"HHS Region 4","4 wk ahead",-5.00049279222611,1,"PSI",0.00673462740918559
"HHS Region 4","Season onset",0,1,"PSI",1
"HHS Region 4","Season peak percentage",-3.55210643151413,1,"PSI",0.0286641968497029
"HHS Region 4","Season peak week",-0.219741942922793,1,"PSI",0.802725920341433
"HHS Region 5","1 wk ahead",-0.164693891889869,1,"PSI",0.848153290956062
