"Year","Week","A","A.H1","A.H3","B.Yamagata","B.Victoria","B","H1N1","A.B","Total","Date"
2017,27,4,NA,0,0,0,14,0,0,17,"7/8/17"
2017,28,3,NA,0,0,0,6,2,0,11,"7/15/17"
2017,29,10,NA,0,0,0,0,1,0,11,"7/22/17"
2017,30,13,NA,1,12,0,3,0,0,29,"7/29/17"
2017,31,4,NA,7,0,0,5,0,1,18,"8/5/17"
2017,32,7,NA,1,0,0,3,0,0,11,"8/12/17"
2017,33,10,NA,0,0,0,7,0,0,17,"8/19/17"
2017,34,4,NA,3,0,0,6,1,0,14,"8/26/17"
2017,35,3,NA,0,0,0,2,0,0,5,"9/2/17"
2017,36,9,NA,1,0,0,2,1,1,14,"9/9/17"
2017,37,9,NA,6,0,0,1,1,0,17,"9/16/17"
2017,38,13,NA,3,0,0,1,1,0,18,"9/23/17"
2017,39,20,NA,1,0,0,1,1,0,23,"9/30/17"
2017,40,8,NA,5,0,0,3,1,0,16,"10/7/17"
2017,41,31,NA,2,0,0,4,0,0,37,"10/14/17"
2017,42,18,NA,4,0,0,5,0,0,27,"10/21/17"
2017,43,16,NA,5,0,0,6,0,4,31,"10/28/17"
2017,44,44,NA,7,0,0,13,0,3,67,"11/4/17"
