Month/Week,"#",,,,,,,,,,,,,,,,,,
"",,Flu A,Flu A,,,,,,,,,Meta-,Adeno,Adeno,Adeno,Corona,Corona,Corona,Corona
"",,(H1N1),(H3),,,,,,,,,,,,,,,,
"",,,,Flu B,RSV A,RSV B,Paraflu 1,Paraflu 2,Paraflu 3,Paraflu 4,Rhino,,,,,,,,
"",,,,,,,,,,,,pneumo,B,B or E,C,OC43,NL63,229E,HKU1
March,,,,,,,,,,,,,,,,,,,
Current,42,2,0,3,0,1,0,0,1,0,2,7,0,0,1,6,1,0,0
10,64,0,1,3,1,2,0,0,1,0,2,5,0,0,0,4,3,0,5
February,,,,,,,,,,,,,,,,,,,
9,75,5,0,2,0,4,0,0,0,1,3,3,0,2,0,3,3,3,2
8,88,4,1,2,1,1,1,1,1,2,7,3,0,0,2,9,4,3,7
7,105,5,2,0,2,5,0,0,1,0,5,3,0,1,1,11,2,3,5
6,115,11,0,0,2,5,1,0,0,1,5,6,1,0,0,6,2,0,3
