Month/Week,"#",,,,,,,,,,,,,,,
"",,Flu A,,,,,,,,Metapne,,,,Corona,Corona,Corona
"",,(H1N1),,,,,,,,,,,,,,
"",,,Flu A (H3),Flu B,RSV A,RSV B,Paraflu 2,Paraflu 3,Rhino,,,,,,,
"",,,,,,,,,,umo,,,,,,
"",,,,,,,,,,,Adeno B,Adeno C,Adeno E,,,
"",,,,,,,,,,,,,,OC43,NL63,229E
March,,,,,,,,,,,,,,,,
Current,29,0,0,4,1,0,0,1,3,0,1,0,0,0,1,0
13,28,1,2,6,0,0,0,0,0,2,0,1,0,0,0,0
12,44,1,1,6,1,0,0,0,2,2,0,0,0,0,2,0
11,44,1,4,14,1,0,0,0,1,1,0,1,0,0,0,0
10,56,1,3,7,6,1,0,0,8,2,1,0,4,1,2,1
February,,,,,,,,,,,,,,,,
9,56,2,4,10,0,0,1,0,2,2,1,0,0,0,3,1
