Hamilton County (Chattanooga),3,4,.,0,608,0.0%,
East Tennessee Region,8,8,.,27,2692,1.0%,higher
Jackson-Madison County,0,2,.,0,0,0.0%,n/a
Knoxville-Knox County,4,4,.,7,1958,0.4%,
Mid-Cumberland Region,7,10,.,2,890,0.2%,
Shelby County (Memphis),0,5,.,0,0,0.0%,n/a
Nashville-Davidson County,3,5,.,4,365,1.1%,
Northeast Region,3,3,.,1,255,0.4%,
South Central Region,3,3,.,0,216,0.0%,
Southeast Region,4,5,.,0,791,0.0%,
Sullivan County (Tri-Cities),0,2,.,0,0,0.0%,n/a
Upper Cumberland Region,4,4,.,0,528,0.0%,
West Tennessee Region,6,6,.,0,282,0.0%,
