Month/Week,"#",,,,,,,,,,,,,,
"",,Flu A,,,,,,,,Meta-,Adeno B,,Corona,Corona,Corona
"",,(H1N1),,,,,,,,,,,,,
"",,,Flu A (H3),Flu B,RSV A,RSV B,Paraflu 2,Paraflu 3,Rhino,,,,,,
"",,,,,,,,,,pneumo,or E,,,,
"",,,,,,,,,,,,Adeno C,,,
"",,,,,,,,,,,,,OC43,229E,HKU1
April,,,,,,,,,,,,,,,
Current,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0
17,16,0,1,0,1,0,0,0,0,1,0,0,0,2,0
16,15,0,0,2,0,0,0,0,0,1,0,0,0,0,0
15,24,1,0,1,0,1,1,0,2,2,1,2,2,0,0
14,30,3,0,5,0,0,0,0,3,2,0,1,0,0,0
March,,,,,,,,,,,,,,,
13,46,4,0,2,0,0,0,3,3,3,0,0,0,3,1
