"Hamilton County (Chattanooga)","2","4",".0","345","0.0%","lower"
"East Tennessee Region","5","7",".0","1506","0.0%","lower"
"Jackson-Madison County","1","1",".14","514","2.7%","higher"
"Knoxville-Knox County","3","3",".2","943","0.2%","lower"
"Mid-Cumberland Region","6","11",".0","383","0.0%","lower"
"Shelby County (Memphis)","7","12",".51","766","6.7%","higher"
"Nashville-Davidson County","1","6",".0","272","0.0%",""
"Northeast Region","2","4",".0","112","0.0%",""
"South Central Region","3","3",".0","213","0.0%",""
"Southeast Region","3","4",".0","22","0.0%",""
"Sullivan County (Tri-Cities)","0","1",".0","0","0.0%","n/a"
"Upper Cumberland Region","2","4",".0","228","0.0%",""
"West Tennessee Region","5","6",".0","262","0.0%",""

