"Hamilton County (Chattanooga)","3","4",".1","658","0.2%","lower"
"East Tennessee Region","5","7",".66","2221","3.0%","higher"
"Jackson-Madison County","0","1",".0","0","0.0%","n/a"
"Knoxville-Knox County","1","3",".6","78","7.7%","higher"
"Mid-Cumberland Region","8","11",".3","905","0.3%","lower"
"Shelby County (Memphis)","9","12",".28","1246","2.3%","higher"
"Nashville-Davidson County","2","6",".7","583","1.2%",""
"Northeast Region","4","4",".0","361","0.0%","lower"
"South Central Region","3","3",".0","277","0.0%","lower"
"Southeast Region","3","4",".0","76","0.0%",""
"Sullivan County (Tri-Cities)","1","1",".0","381","0.0%","lower"
"Upper Cumberland Region","3","4",".1","367","0.3%",""
"West Tennessee Region","6","6",".1","354","0.3%",""

