Hamilton County (Chattanooga),3,4,.,0,645,0.0%
East Tennessee Region,7,7,.,0,3062,0.0%
Jackson-Madison County,1,1,.,5,500,1.0% higher
Knoxville-Knox County,4,4,.,0,1762,0.0%
Mid-Cumberland Region,9,10,.,2,812,0.3%
Shelby County (Memphis),1,10,.,0,146,0.0%
Nashville-Davidson County,3,6,.,0,419,0.0%
Northeast Region,2,3,.,0,196,0.0%
South Central Region,3,3,.,0,207,0.0%
Southeast Region,5,5,.,0,621,0.0%
Sullivan County (Tri-Cities),1,2,.,0,378,0.0%
Upper Cumberland Region,4,4,.,3,619,0.5% higher
West Tennessee Region,5,6,.,0,311,0.0%
