"","","","","Total","Total","",""
"","#Sites","Total","","Regional","Regional","","Compared"
"Summaryfor","reporting","Sites","","ILI","Patients","%ILI","toState2"
"HamiltonCounty(Chattanooga)","3","4",".","0","615","0.0%",""
"EastTennesseeRegion","6","7",".","12","2289","0.5%","higher"
"Jackson-MadisonCounty","0","1",".","0","0","0.0%","n/a"
"Knoxville-KnoxCounty","1","3",".","5","1273","0.4%",""
"Mid-CumberlandRegion","5","15",".","2","880","0.2%",""
"ShelbyCounty(Memphis)","7","11",".","0","1019","0.0%",""
"Nashville-DavidsonCounty","1","10",".","0","21","0.0%",""
"NortheastRegion","3","5",".","1","292","0.3%",""
"SouthCentralRegion","3","3",".","0","222","0.0%",""
"SoutheastRegion","2","5",".","0","403","0.0%",""
"SullivanCounty(Tri-Cities)","1","1",".","0","333","0.0%",""
"UpperCumberlandRegion","4","4",".","1","609","0.2%",""
"WestTennesseeRegion","5","6",".","0","272","0.0%",""
"StateofTennessee","41","75",".","21","8228","0.26%",""
