"","","","","Total","Total","","",""
"","#Sites","Total","","Regional","Regional","","","Compared"
"Summaryfor","reporting","Sites","","ILI","Patients","","%ILI","toState2"
"HamiltonCounty(Chattanooga)","3","4",".","0","881","","0.0%","lower"
"EastTennesseeRegion","7","7",".","25","2450","","1.0%","higher"
"Jackson-MadisonCounty","0","1",".","0","","0","0.0%","n/a"
"Knoxville-KnoxCounty","2","3",".","15","1248","","1.2%","higher"
"Mid-CumberlandRegion","6","15",".","3","967","","0.3%",""
"ShelbyCounty(Memphis)","1","11",".","0","125","","0.0%",""
"Nashville-DavidsonCounty","6","10",".","5","842","","0.6%",""
"NortheastRegion","3","5",".","0","177","","0.0%",""
"SouthCentralRegion","3","3",".","0","228","","0.0%",""
"SoutheastRegion","2","5",".","0","397","","0.0%",""
"SullivanCounty(Tri-Cities)","1","1",".","0","371","","0.0%",""
"UpperCumberlandRegion","3","4",".","0","348","","0.0%",""
"WestTennesseeRegion","5","6",".","4","243","","1.7%","higher"
"StateofTennessee","42","75",".","52","8277","","0.63%",""
