Summary for,reporting,Providers,Regional ILI,Patients,,% ILI to State,,
Chattanooga-Hamilton County,3,5,0,,392,0.0%,,Important News for Sentinel
East Tennessee Region,5,7,4,,1332,0.3%,,Providers:
Jackson-Madison County,1,1,5,,831,0.6%,,
Knoxville-Knox County,3,4,2,,796,0.3%,,
Mid-Cumberland Region,6,10,8,,853,0.9% higher,,Specimen Collection Change:
Memphis-Shelby County,1,5,0,,93,0.0%,,
Nashville-Davidson County,2,6,6,,724,0.8% higher,,The new Respiratory Viral Panel testing
Northeast Region,2,3,0,,327,0.0%,,
South Central Region,2,3,2,,184,1.1%,,protocol is validated for specimens
Southeast Region,4,4,0,,852,0.0%,,collected from the nasopharynx (NP swab).
Sullivan County,1,2,0,,185,0.0%,,Specimens from any other site (such as the
Upper Cumberland Region,4,5,0,,652,0.0%,,oropharynx) will not be tested.
West Tennessee Region,4,6,0,,258,0.0%,,
State of Tennessee,38,61,27,,7479,0.36%,,
