"","","","","Total","Total","","",""
"","#Sites","Total","","Regional","Regional","","","Compared"
"Summaryfor","reporting","Sites","","ILI","Patients","","%ILI","toState2"
"HamiltonCounty(Chattanooga)","3","4",".","0","531","","0.0%",""
"EastTennesseeRegion","6","7",".","32","2247","","1.4%","higher"
"Jackson-MadisonCounty","0","1",".","0","","0","0.0%","n/a"
"Knoxville-KnoxCounty","2","3",".","16","1107","","1.5%","higher"
"Mid-CumberlandRegion","5","15",".","0","882","","0.0%","lower"
"ShelbyCounty(Memphis)","7","11",".","0","883","","0.0%","lower"
"Nashville-DavidsonCounty","5","10",".","0","1090","","0.0%","lower"
"NortheastRegion","4","5",".","0","294","","0.0%",""
"SouthCentralRegion","3","3",".","0","255","","0.0%",""
"SoutheastRegion","2","5",".","0","329","","0.0%",""
"SullivanCounty(Tri-Cities)","1","1",".","0","238","","0.0%",""
"UpperCumberlandRegion","4","4",".","0","572","","0.0%",""
"WestTennesseeRegion","6","6",".","0","278","","0.0%",""
"StateofTennessee","48","75",".","48","8706","","0.55%",""
