"","","","","Total","Total","",""
"","#Sites","Total","","Regional","Regional","","Compared"
"Summaryfor","reporting","Sites","","ILI","Patients","%ILI","toState2"
"HamiltonCounty(Chattanooga)","3","4",".","2","549","0.4%",""
"EastTennesseeRegion","4","7",".","7","1480","0.5%",""
"Jackson-MadisonCounty","1","1",".","12","566","2.1%","higher"
"Knoxville-KnoxCounty","2","3",".","16","1201","1.3%","higher"
"Mid-CumberlandRegion","8","15",".","2","1007","0.2%",""
"ShelbyCounty(Memphis)","2","11",".","0","324","0.0%",""
"Nashville-DavidsonCounty","5","10",".","6","1208","0.5%",""
"NortheastRegion","1","5",".","0","51","0.0%",""
"SouthCentralRegion","3","3",".","0","205","0.0%",""
"SoutheastRegion","3","5",".","0","377","0.0%",""
"SullivanCounty(Tri-Cities)","1","1",".","0","336","0.0%",""
"UpperCumberlandRegion","4","4",".","0","562","0.0%",""
"WestTennesseeRegion","6","6",".","0","301","0.0%",""
"StateofTennessee","43","75",".","45","8167","0.55%",""
