"","","","","Total","Total","",""
"","#Sites","Total","","Regional","Regional","","Compared"
"Summaryfor","reporting","Sites","","ILI","Patients","%ILI","toState2"
"HamiltonCounty(Chattanooga)","3","4",".","2","556","0.4%",""
"EastTennesseeRegion","5","7",".","43","2078","2.1%","higher"
"Jackson-MadisonCounty","1","1",".","9","619","1.5%",""
"Knoxville-KnoxCounty","2","3",".","17","1234","1.4%",""
"Mid-CumberlandRegion","7","15",".","0","975","0.0%","lower"
"ShelbyCounty(Memphis)","1","11",".","0","105","0.0%",""
"Nashville-DavidsonCounty","2","10",".","1","501","0.2%",""
"NortheastRegion","2","5",".","3","109","2.8%",""
"SouthCentralRegion","3","3",".","3","192","1.6%",""
"SoutheastRegion","2","5",".","0","394","0.0%","lower"
"SullivanCounty(Tri-Cities)","1","1",".","0","304","0.0%",""
"UpperCumberlandRegion","4","4",".","0","564","0.0%","lower"
"WestTennesseeRegion","4","6",".","1","200","0.5%",""
"StateofTennessee","37","75",".","79","7831","1.01%",""
