"Hamilton County (Chattanooga)","2","4",".","0","88","0.0%",""
"East Tennessee Region","4","7",".","3","1694","0.2%","lower"
"Jackson-Madison County","1","1",".","96","671","14.3%","higher"
"Knoxville-Knox County","1","3",".","2","409","0.5%","lower"
"Mid-Cumberland Region","5","11",".","2","434","0.5%","lower"
"Shelby County (Memphis)","9","11",".","57","1228","4.6%","higher"
"Nashville-Davidson County","6","8",".","9","715","1.3%","lower"
"Northeast Region","2","4",".","1","144","0.7%",""
"South Central Region","3","3",".","0","228","0.0%","lower"
"Southeast Region","4","5",".","2","224","0.9%",""
"Sullivan County (Tri-Cities)","0","1",".","0","0","0.0%","n/a"
"Upper Cumberland Region","3","4",".","0","390","0.0%","lower"
"West Tennessee Region","6","6",".","1","346","0.3%","lower"

