Hamilton County (Chattanooga) 1 4 . 0,20,0.0%,
East Tennessee Region 3 9 . 159,1690,9.4%,higher
Jackson-Madison County 1 1 . 68,910,7.5%,
Knoxville-Knox County 1 3 . 20,126,15.9%,higher
Mid-Cumberland Region 3 15 . 33,307,10.8%,higher
Shelby County (Memphis) 2 4 . 10,306,3.3%,lower
Nashville-Davidson County 3 10 . 0,207,0.0%,lower
Northeast Region 3 5 . 4,283,1.4%,lower
South Central Region 3 3 . 0,151,0.0%,lower
Southeast Region 2 4 . 4,93,4.3%,
Sullivan County (Tri-Cities) 2 3 . 7,274,2.6%,lower
Upper Cumberland Region 3 4 . 2,336,0.6%,lower
West Tennessee Region 4 6 . 1,222,0.5%,lower
