"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","2","4","0","494","0.0%",""
"X.ILI.ETR","East Tennessee Region","7","8","2","1773","0.1%",""
"X.ILI.JMR","Jackson-Madison County","0","2","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","3","4","1","1177","0.1%",""
"X.ILI.MCR","Mid-Cumberland Region","5","10","0","428","0.0%",""
"X.ILI.MSR","Shelby County (Memphis)","0","5","0","0","0.0%","n/a"
"X.ILI.NDR","Nashville-Davidson County","3","5","0","209","0.0%",""
"X.ILI.NER","Northeast Region","2","3","0","131","0.0%",""
"X.ILI.SCR","South Central Region","2","3","0","126","0.0%",""
"X.ILI.SER","Southeast Region","5","5","0","526","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","0","475","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","4","0","536","0.0%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","383","0.0%",""
