"abbr.name","region.name","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)",714,"0.1%","lower"
"X.ILI.ETR","East Tennessee Region",2463,"4.8%","higher"
"X.ILI.JMR","Jackson-Madison County",783,"4.7%","higher"
"X.ILI.KKR","Knoxville-Knox County",112,"18.8%","higher"
"X.ILI.MCR","Mid-Cumberland Region",299,"0.3%","lower"
"X.ILI.MSR","Shelby County (Memphis)",270,"0.7%","lower"
"X.ILI.NDR","Nashville-Davidson County",698,"1.3%","lower"
"X.ILI.NER","Northeast Region",233,"0.4%","lower"
"X.ILI.SCR","South Central Region",214,"0.5%","lower"
"X.ILI.SER","Southeast Region",207,"1.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)",352,"0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region",470,"0.0%","lower"
"X.ILI.WTR","West Tennessee Region",356,"0.3%","lower"
