"abbr.name","region.name","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","0.0%",""
"X.ILI.ETR","East Tennessee Region","9.4%","higher"
"X.ILI.JMR","Jackson-Madison County","7.5%",""
"X.ILI.KKR","Knoxville-Knox County","15.9%","higher"
"X.ILI.MCR","Mid-Cumberland Region","10.8%","higher"
"X.ILI.MSR","Shelby County (Memphis)","3.3%","lower"
"X.ILI.NDR","Nashville-Davidson County","0.0%","lower"
"X.ILI.NER","Northeast Region","1.4%","lower"
"X.ILI.SCR","South Central Region","0.0%","lower"
"X.ILI.SER","Southeast Region","4.3%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2.6%","lower"
"X.ILI.UCR","Upper Cumberland Region","0.6%","lower"
"X.ILI.WTR","West Tennessee Region","0.5%","lower"
