"Influenza Mortality per 100000(Influenza Season), created by Plot Digitizer, 2.5.0 dev"
"Date: 10/5/17, 11:47:00 AM"


18
Influenza Season,Influenza Mortality per 100000
1913.39221,20.02680
1913.94507,10.95642
1914.37390,16.71382
1914.92322,11.06810
1915.57056,15.70876
1915.77844,24.86599
1916.10095,28.32787
1917.20203,14.75333
1917.16187,53.56611
1917.31665,114.09321
1917.36853,168.90015
1917.38037,367.55508
1918.02063,168.97459
1918.18726,113.05093
1918.32788,82.24142
1918.57471,53.72742
1918.70471,33.19188
1919.05078,13.82271
