Influenza.Season,Influenza.Mortality.per.100000
1900,26.7
1901,36.5
1902,10.4
1903,19.2
1904,21.8
1905,20.5
1906,10.2
1907,25
1908,21.1
1909,13.3
1910,14.2
1911,15.8
1912,10
1913,12.3
1914,8.9
1915,15.7
1916,27
1917,17.4
1918,301.8
1919,99
1920,70.5
1921,11.3
1922,31
1923,44.1
1924,19
1925,29.1
1926,40
1927,22.3
1928,44.8
1929,55.1
1930,19.4
1931,26.5
1932,30.6
1933,26.4
1934,17.3
1935,22.2
1936,26.4
1937,29.5
1938,12.7
1939,16.4
1940,15.3
1941,15.8
1942,8.1
1943,12.6
1944,13.1
1945,7.7
1946,6.3
1947,5.3
1948,3.5
1949,3.1
1950,4.3
1951,4.5
1952,1.8
1953,5.9
1954,1.6
1955,1.7
1956,1.4
1957,4.4
1958,2.6
1959,1.6
1960,4.4
1961,1.2
1962,1.8
1963,3.8
1964,0.9
1965,1.2
1966,1.4
1967,0.7
1968,3.5
1969,3
1970,1.8
1971,0.7
1972,2.4
1973,2.4
1974,1
1975,2
1976,3.7
1977,0.6
1978,1.9
1979,0.3
1980,1.2
1981,1.3
1982,0.3
1983,0.6
1984,0.5
1985,0.9
1986,0.8
1987,0.3
1988,0.8
1989,0.6
1990,0.8
1991,0.5
1992,0.4
1993,0.4
1994,0.4
1995,0.4
1996,0.5
1997,0.5
1998,0.5
1999,0.6
2000,0.6
2001,0.1
2002,0.3
2003,0.6
2004,0.4
2005,0.6
2006,0.3
2007,0.1
2008,0.6
2009,1
2010,0.2
2011,0.5
2012,0.4
2013,1.2
2014,1.4
2015,1.6
