Influenza.Season,Influenza.Mortality.per.100000,1900-40,,,
1900,22.9,26.7,,,
1901,32.8,36.5,,,
1902,10.1,10.4,,,
1903,18.6,19.2,,,
1904,20.3,21.8,,,
1905,19,20.5,,,
1906,10.5,10.2,,,
1907,23.4,25,,,
1908,21.3,21.1,,,
1909,13.1,13.3,,,
1910,14.4,14.2,,,
1911,15.7,15.8,,,
1912,10.3,10,,,
1913,12.2,12.3,,,
1914,9.1,8.9,,,
1915,16,15.7,,,
1916,26.5,27,,,
1917,17.3,17.4,,,
1918,300.8,301.8,,,
1919,98.8,99,,,
1920,70.9,70.5,,,
1921,11.4,11.3,,,
1922,31.2,31,,,
1923,44.3,44.1,,,
1924,19.4,19,,,
1925,29.7,29.1,,,
1926,40.8,40,,,
1927,22.6,22.3,,,
1928,45.3,44.8,,,
1929,55.5,55.1,,,
1930,19.4,19.4,,,
1931,26.5,26.5,,,
1932,30.6,30.6,,,
1933,26.4,26.4,,,
1934,17.3,17.3,,,
1935,22.2,22.2,,,
1936,26.4,26.4,,,
1937,29.5,29.5,,,
1938,12.7,12.7,,,
1939,16.4,16.4,,,
1940,15.3,15.3,,,
1941,15.8,,13188,7859,c
1942,8.1,,6626,4276,c
1943,12.6,,11027,6192,
1944,13.1,17320,10804,6516,
1945,7.7,10190,6033,4157,
1946,6.3,8783,5322,3461,
1947,5.3,7664,4878,2786,
1948,3.5,5068,3139,1929,
1949,3.1,4602,,,c
1950,4.3,6597,,,c
1951,4.5,,,,
1952,1.8,2808,,,c
1953,5.9,9460,,,c
1954,1.6,,,,
1955,1.7,,,,
1956,1.4,,,,
1957,4.4,,,,
1958,2.6,,,,
1959,1.6,,,,
1960,4.4,,,,
1961,1.2,,,,
1962,1.8,,,,
1963,3.8,,,,
1964,0.9,,,,
1965,1.2,,,,
1966,1.4,,,,
1967,0.7,,,,
1968,3.5,,,,
1969,3,,,,
1970,1.8,,,,
1971,0.7,,,,
1972,2.4,,,,
1973,2.4,,,,
1974,1,,,,
1975,2,,,,
1976,3.7,,,,
1977,0.6,,,,
1978,1.9,,,,
1979,0.3,,,,
1980,1.2,,,,
1981,1.3,,,,
1982,0.3,,,,
1983,0.6,,,,
1984,0.5,,,,
1985,0.9,,,,
1986,0.8,,,,
1987,0.3,,,,
1988,0.8,,,,
1989,0.6,,,,
1990,0.8,,,,
1991,0.5,,,,
1992,0.4,,,,
1993,0.4,,,,
1994,,,,,
1995,,,,,
1996,,,,,
1997,,,,,
1998,,,,,
1999,0.6,,,,
2000,0.6,,,,
2001,0.1,,,,
2002,0.3,,,,
2003,0.6,,,,
2004,0.4,,,,
2005,0.6,,,,
2006,0.3,,,,
2007,0.1,,,,
2008,0.6,,,,
2009,1,,,,
2010,0.2,,,,
2011,0.5,,,,
2012,0.4,,,,
2013,1.2,,,,
2014,1.4,,,,
2015,1.6,,,,
