"Influenza.Season","Influenza.Mortality.per.100000"
1901.97913,30.82192
1902.29163,20.54795
1902.70837,11.41553
1903.33337,19.40639
1903.85413,20.54795
1904.47913,11.41553
1905.20837,14.84018
1906.14587,22.83105
1906.66663,17.12329
1907.29163,17.12329
1913.39221,20.0268
1913.94507,10.95642
1914.3739,16.71382
1914.92322,11.0681
1915.57056,15.70876
1915.77844,24.86599
1916.10095,28.32787
1917.20203,14.75333
1917.16187,53.56611
1917.31665,114.09321
1917.36853,168.90015
1917.38037,367.55508
1918.02063,168.97459
1918.18726,113.05093
1918.32788,82.24142
1918.57471,53.72742
1918.70471,33.19188
1919.05078,13.82271
1921.16162,41.50886
1921.7832,55.3704
1922.64148,30.6393
1924.0177,51.58309
1924.73181,37.03984
1925.37549,44.08423
1926.03406,80.70747
1926.55566,56.99894
1926.95154,37.7973
1930.03247,35.46976
1931.09192,28.31772
1932.05847,42.95358
1934.0094,28.8403
1935.02161,31.65253
1936.03809,39.32769
1936.53369,28.79102
1937.02759,16.34731
1938.0979,21.49562
1939.16162,19.11115
1940.11743,21.54201
1941.11707,10.0515
1942.12732,10.766
1943.09094,22.11223
1944.14392,7.52276
1945.10071,11.09784
1946.05078,7.04479
1947.00256,4.94644
1948.12292,3.2294
1949.13367,4.3253
1950.14343,4.42001
1951.15259,3.70424
1952.16418,5.849
1953.11426,1.79596
1956.1991,1.26956
1957.21228,5.32136
1958.16272,1.64972
1959.23071,4.08051
1960.23779,1.07629
1961.19202,1.79082
1962.14734,3.64957
1963.21082,0.97905
1964.33276,1.12136
1965.17456,1.45456
1966.18347,0.54808
1968.26221,4.17012
1969.26978,1.69033
1970.16638,0.73625
1971.23364,2.35655
1972.24341,2.45126
1973.25183,0.97266
1975.27356,3.54587
1976.22461,0.54169
1977.29163,1.87594
1978.2439,0.34971
1980.32056,1.63563
1981.27307,0.34778
1982.39514,0.63312
1983.23645,0.48956
1984.41479,0.87022
1985.25623,0.77433
1986.32166,0.2969
1987.38794,0.86833
1988.34131,0.58167
1989.40747,0.9624
1990.36035,0.19898
1991.42651,0.5797
1992.43604,0.29301
1993.38989,0.57846
1994.39929,0.19641
1995.46509,0.19573
1996.30664,0.33822
1997.93384,0.81395
1999.44897,1.38509
2000.34546,0.19263
2002.36536,0.71578
2003.43164,1.23954
