Date,Pneumonic,Bubonic,Not.Specified,Septicemic
2017-08-01,0,1,0,0
2017-08-02,0,0,0,0
2017-08-03,0,0,0,0
2017-08-04,0,0,0,0
2017-08-05,0,0,0,0
2017-08-06,0,0,0,0
2017-08-07,0,0,0,0
2017-08-08,0,0,0,0
2017-08-09,0,0,0,0
2017-08-10,0,0,0,0
2017-08-11,0,0,0,0
2017-08-12,0,0,0,0
2017-08-13,0,1,0,0
2017-08-14,0,0,0,0
2017-08-15,0,0,0,0
2017-08-16,0,0,0,0
2017-08-17,0,0,0,0
2017-08-18,0,0,0,0
2017-08-19,0,0,0,0
2017-08-20,0,2,0,0
2017-08-21,0,0,0,0
2017-08-22,0,0,0,0
2017-08-23,1,0,0,0
2017-08-24,0,0,0,0
2017-08-25,0,0,0,0
2017-08-26,0,2,0,0
2017-08-27,0,1,0,0
2017-08-28,1,3,0,0
2017-08-29,1,0,0,0
2017-08-30,0,1,0,0
2017-08-31,0,0,0,0
2017-09-01,1,0,0,0
2017-09-02,1,1,0,0
2017-09-03,1,1,0,0
2017-09-04,0,2,0,0
2017-09-05,2,0,0,0
2017-09-06,0,1,0,0
2017-09-07,2,2,0,0
2017-09-08,2,3,1,0
2017-09-09,1,2,0,0
2017-09-10,1,3,0,0
2017-09-11,3,3,1,0
2017-09-12,11,2,0,0
2017-09-13,5,2,0,0
2017-09-14,5,1,0,1
2017-09-15,4,5,0,0
2017-09-16,0,1,1,0
2017-09-17,7,1,0,0
2017-09-18,1,3,1,0
2017-09-19,1,6,0,0
2017-09-20,1,5,0,0
2017-09-21,2,3,1,0
2017-09-22,0,0,0,0
2017-09-23,3,2,0,0
2017-09-24,6,0,0,0
2017-09-25,2,3,0,0
2017-09-26,5,1,0,0
2017-09-27,9,1,1,0
2017-09-28,8,3,0,0
2017-09-29,20,9,0,0
2017-09-30,25,8,1,0
2017-10-01,36,7,2,0
2017-10-02,51,10,3,0
2017-10-03,58,9,0,0
2017-10-04,52,9,0,0
2017-10-05,47,11,1,0
2017-10-06,57,9,3,0
2017-10-07,60,13,1,0
2017-10-08,56,12,2,0
2017-10-09,54,14,2,0
2017-10-10,61,16,3,0
2017-10-11,57,9,2,0
2017-10-12,45,9,0,0
2017-10-13,57,15,2,0
2017-10-14,39,8,0,0
2017-10-15,50,6,2,0
2017-10-16,35,5,2,0
2017-10-17,56,4,3,0
2017-10-18,38,6,0,0
2017-10-19,28,2,1,0
2017-10-20,26,7,0,0
2017-10-21,37,3,0,0
2017-10-22,26,1,1,0
2017-10-23,40,3,1,0
2017-10-24,37,6,0,0
2017-10-25,26,1,2,0
2017-10-26,26,6,0,0
2017-10-27,28,3,1,0
2017-10-28,15,3,1,0
2017-10-29,12,2,3,0
2017-10-30,25,5,2,0
2017-10-31,7,3,0,0
2017-11-01,27,1,2,0
2017-11-02,14,1,2,0
2017-11-03,17,0,0,0
2017-11-04,17,0,1,0
2017-11-05,23,1,0,0
2017-11-06,11,0,2,0
2017-11-07,8,3,0,0
2017-11-08,3,0,0,0
2017-11-09,1,2,0,0
2017-11-10,0,1,0,0
2017-11-11,0,0,0,0
2017-11-12,0,0,0,0
