id,x,y
18,545.67,237.33
18,551.33,232.67
18,566.00,220.67
18,574.33,214.67
18,591.00,206.33
18,615.33,196.33
18,644.33,184.67
18,670.67,173.00
18,696.67,160.00
18,726.67,143.67
18,746.00,132.67
18,756.00,127.50
18,773.50,116.00
18,808.00,94.50
18,864.50,58.50
18,918.50,24.50
18,951.50,0.00
19,538.00,233.33
19,547.00,222.33
19,555.67,216.00
19,574.67,199.00
19,591.00,184.67
19,607.67,170.00
19,628.33,154.00
19,652.00,137.00
19,696.00,100.67
19,717.00,82.67
19,742.33,60.33
19,751.50,53.00
19,775.50,32.50
19,797.00,15.00
19,813.50,0.00
20,533.00,231.33
20,538.33,220.33
20,546.67,208.33
20,557.33,193.33
20,566.00,183.00
20,580.00,164.33
20,595.00,146.33
20,619.33,117.33
20,639.00,94.00
20,663.33,69.00
20,687.33,45.00
20,710.67,22.33
20,734.67,0.33
21,525.50,229.25
21,528.50,220.75
21,535.25,204.75
21,541.75,191.00
21,550.50,172.00
21,559.75,153.58
21,567.50,137.50
21,575.25,119.75
21,589.50,92.75
21,606.08,58.08
21,618.08,33.92
21,627.33,15.83
21,635.75,0.50
22,522.50,228.50
22,525.75,216.50
22,530.00,205.00
22,536.25,187.50
22,542.00,169.50
22,549.00,147.00
22,556.75,124.75
22,565.25,100.00
22,572.00,77.75
22,580.25,53.25
22,588.75,31.50
22,594.25,17.25
22,598.75,4.50
22,600.00,0.00
23,506.75,226.25
23,506.00,214.00
23,506.00,199.25
23,504.50,184.00
23,502.00,167.25
23,499.00,149.25
23,495.75,129.50
23,491.75,108.00
23,488.50,88.00
23,487.00,73.75
23,484.50,56.75
23,483.50,39.50
23,482.25,24.50
23,481.75,11.50
23,481.25,0.00
24,498.25,225.50
24,497.75,217.25
24,495.00,208.00
24,490.00,198.25
24,486.25,191.00
24,478.25,180.50
24,471.00,170.50
24,463.00,158.75
24,452.75,140.25
24,440.50,117.25
24,425.50,88.75
24,416.75,71.00
24,408.00,52.00
24,400.50,31.75
24,394.00,16.50
24,390.00,3.25
24,388.25,0.00
25,492.73,225.82
25,490.55,215.09
25,486.73,205.27
25,479.64,192.00
25,471.64,180.00
25,458.00,165.27
25,446.00,150.18
25,433.67,136.00
25,421.33,117.67
25,403.00,87.33
25,388.33,63.67
25,376.67,42.00
25,365.33,22.33
25,356.00,8.00
25,350.33,0.00
26,490.67,226.33
26,482.67,204.00
26,474.00,192.33
26,463.00,178.67
26,443.67,157.67
26,416.67,135.00
26,381.00,104.33
26,367.00,86.67
26,350.00,66.00
26,330.00,41.00
26,304.00,12.00
26,291.00,0.00
13,537.50,445.00
13,553.00,458.50
13,572.00,474.00
13,592.00,492.00
13,619.50,517.50
13,642.50,537.00
13,681.00,569.00
13,710.00,594.50
13,739.00,619.50
13,767.00,643.50
13,792.50,665.50
13,805.50,677.00
12,523.00,449.50
12,532.50,464.00
12,541.00,478.00
12,552.00,493.00
12,569.50,520.50
12,585.00,544.00
12,604.50,577.00
12,619.00,602.50
12,637.50,632.50
12,652.50,659.50
12,661.50,674.50
11,519.00,450.00
11,529.50,471.00
11,545.50,498.00
11,564.50,534.00
11,578.50,559.00
11,595.00,590.00
11,610.00,619.00
11,624.00,647.00
11,636.50,669.50
11,640.50,677.50
14,546.18,440.36
14,554.00,441.82
14,562.91,444.73
14,570.55,448.00
14,576.73,451.45
14,582.73,454.55
14,587.45,457.64
14,597.09,466.00
14,604.55,470.91
14,613.39,476.61
14,620.00,480.61
14,628.18,486.73
14,637.82,492.55
14,657.64,504.18
14,670.09,511.05
14,688.00,521.00
14,703.50,530.50
14,713.00,536.00
14,726.00,543.50
14,742.50,552.50
14,758.50,562.00
14,779.00,574.00
14,807.67,591.33
14,834.67,607.83
14,854.33,620.33
14,874.17,633.50
14,902.33,652.17
14,937.33,677.00
16,570.50,424.50
16,583.50,429.25
16,592.75,429.50
16,611.25,430.75
16,629.50,430.75
16,650.50,432.25
16,670.25,433.50
16,686.50,435.75
16,700.50,437.50
16,715.64,441.09
16,715.45,440.91
16,732.00,446.30
16,749.27,452.36
16,770.55,460.55
16,793.64,468.55
16,818.18,477.64
16,847.50,487.50
16,892.50,505.00
16,925.50,517.00
16,959.50,528.67
16,985.00,536.50
16,998.50,540.00
