x,y
605,0
604,0
604,3
602,5
602,8
600,10
600,13
598,15
598,18
596,20
596,23
594,25
594,28
592,30
592,33
590,35
590,38
588,41
588,43
586,45
586,48
584,50
584,53
582,55
582,58
580,60
580,63
578,65
578,68
576,70
576,73
574,75
574,78
572,80
572,83
570,85
570,88
568,91
568,93
566,95
566,98
564,100
564,103
562,105
562,108
560,110
560,113
558,115
558,118
556,120
556,123
554,125
554,128
552,130
552,133
550,135
550,138
548,141
548,143
546,145
546,148
542,156
542,159
540,161
540,163
538,166
538,169
536,171
536,174
532,182
532,185
530,187
530,190
528,192
528,196
526,198
526,201
524,204
524,207
522,209
522,213
520,215
520,219
518,221
518,225
516,228
516,232
516,228
518,226
518,221
520,219
520,215
522,213
522,209
524,207
524,204
526,201
526,198
528,196
528,193
530,190
530,187
532,185
532,182
534,180
534,177
536,174
536,171
538,169
538,166
540,164
540,161
542,159
542,156
544,154
544,151
546,148
546,145
548,143
548,141
550,139
550,136
552,134
552,131
554,128
554,125
556,123
556,120
558,118
558,116
560,114
560,111
562,109
562,106
566,98
566,95
568,93
568,91
570,89
570,86
572,84
572,81
574,78
574,75
576,73
576,70
578,68
578,66
580,64
580,61
582,59
582,56
586,48
586,45
588,43
588,41
590,39
590,36
592,34
592,31
594,28
594,25
596,23
596,20
598,18
598,15
600,13
600,10
602,8
602,5
604,3
604,1
