id,x,y
24,407,0
24,407,2
24,411,9
24,412,14
24,414,17
24,414,19
24,416,22
24,416,24
24,420,31
24,420,33
24,422,36
24,422,38
24,424,41
24,424,43
24,426,46
24,426,48
24,428,51
24,428,53
24,432,60
24,432,63
24,434,65
24,434,67
24,436,70
24,436,73
24,438,75
24,438,77
24,442,84
24,442,87
24,446,94
24,446,96
24,448,99
24,448,101
24,452,108
24,452,111
24,456,118
24,456,121
24,458,123
24,458,125
24,462,132
24,462,135
24,466,142
24,466,144
24,468,147
24,468,149
24,471,154
24,472,159
24,476,166
24,476,169
24,478,171
24,478,174
24,480,176
24,480,178
24,482,181
24,482,184
24,484,187
24,484,189
24,486,192
24,486,195
24,488,198
24,490,206
24,492,209
24,493,216
24,496,223
24,496,229
24,496,223
24,495,222
24,494,216
24,492,212
24,492,208
24,488,200
24,488,197
24,486,194
24,485,189
24,482,184
24,481,178
24,478,173
24,478,171
24,476,168
24,476,166
24,474,163
24,474,161
24,472,158
24,472,156
24,470,153
24,470,151
24,468,148
24,468,146
24,466,144
24,465,139
24,462,134
24,462,132
24,460,129
24,460,127
24,456,120
24,456,117
24,452,110
24,452,108
24,450,105
24,450,103
24,446,96
24,445,91
24,442,86
24,442,84
24,440,81
24,440,79
24,436,72
24,436,69
24,432,62
24,432,60
24,430,57
24,430,55
24,426,48
24,426,45
24,422,38
24,422,35
24,418,28
24,418,26
24,412,14
24,412,11
24,410,8
24,410,6
