x,y
479,445
475,452
472,455
471,458
466,463
465,466
463,467
457,476
445,490
436,498
435,501
433,502
430,506
428,507
426,510
423,512
420,516
418,517
416,520
376,559
374,562
370,564
370,565
367,567
366,569
361,573
360,575
357,577
356,579
351,583
350,585
347,587
346,589
341,593
340,595
337,597
336,599
331,603
310,625
309,625
309,626
270,665
270,666
262,673
260,676
261,676
272,663
279,657
279,656
311,624
312,624
312,623
315,621
315,620
372,563
373,563
424,512
425,512
425,511
460,473
462,469
474,454
