x,y
485,444
482,449
480,456
477,460
477,462
472,471
472,473
468,479
464,488
462,490
458,499
453,506
450,513
446,518
446,520
436,535
436,537
433,540
431,545
427,550
422,560
416,568
416,570
410,578
405,588
402,591
399,598
396,601
390,613
387,616
384,623
377,633
376,637
373,640
371,645
366,651
365,655
363,657
361,662
357,667
354,673
354,676
354,674
358,666
366,654
366,652
369,649
372,642
376,637
378,632
385,622
388,615
391,612
393,607
400,597
403,590
406,587
408,582
415,572
417,567
420,564
426,552
429,549
432,542
444,524
447,517
450,514
454,505
456,503
462,491
464,489
467,481
471,476
471,474
476,465
476,463
482,452
482,450
