x,y
374,0
374,2
377,6
384,21
386,23
386,25
389,31
391,33
394,40
396,42
398,49
401,52
404,60
406,61
406,63
410,71
412,73
414,79
418,84
418,86
420,90
422,92
424,97
426,99
426,101
428,103
431,110
436,117
436,119
438,123
440,125
450,145
452,147
454,152
456,154
456,156
459,160
464,171
466,173
468,177
468,179
470,181
474,190
476,192
476,195
480,202
480,204
482,207
484,215
486,217
486,220
488,223
488,229
488,223
486,220
486,217
483,212
483,210
480,204
480,202
476,195
476,192
474,190
472,186
472,184
470,182
459,160
457,158
456,154
454,152
452,147
450,145
446,137
446,135
444,134
442,130
442,128
438,123
438,121
436,119
436,117
434,115
428,103
426,101
426,99
424,97
422,92
420,90
418,86
418,84
414,79
413,75
410,71
410,69
408,67
406,63
406,61
404,59
402,55
402,53
399,50
396,44
396,42
394,40
391,33
389,31
386,25
386,23
384,21
377,6
374,2
